Motifs:     Frequencies:
164         11.71%
21          11.51%
162         7.01%
38          5.30%
161         5.24%
14          5.14%
7           4.43%
292         4.34%
54          2.64%
78          2.14%
270         2.10%
275         2.07%
2196        1.59%
2194        1.53%
267         1.53%
291         1.44%
182         1.41%
39          1.39%
55          1.37%
15          1.36%
310         1.32%
294         1.32%
2212        1.25%
142         1.23%
53          1.19%
278         1.16%
2193        1.16%
43          1.07%
150         0.70%
102         0.70%
166         0.69%
86          0.61%
2126        0.52%
47          0.46%
590         0.45%
171         0.45%
2230        0.42%
2342        0.41%
119         0.39%
79          0.36%
2318        0.30%
283         0.30%
1102        0.29%
2190        0.27%
63          0.26%
439         0.25%
179         0.22%
2358        0.22%
1206        0.21%
2188        0.21%
183         0.21%
311         0.21%
173         0.21%
307         0.20%
438         0.20%
1190        0.19%
1318        0.19%
614         0.18%
413         0.18%
806         0.17%
299         0.17%
2150        0.17%
143         0.17%
271         0.17%
158         0.16%
157         0.16%
2214        0.16%
174         0.16%
1166        0.15%
1142        0.11%
1126        0.11%
279         0.11%
309         0.10%
678         0.09%
181         0.09%
631         0.08%
295         0.08%
591         0.08%
95          0.06%
2294        0.06%
2127        0.06%
1197        0.06%
151         0.06%
301         0.05%
447         0.05%
191         0.05%
1195        0.05%
2487        0.05%
435         0.05%
629         0.05%
951         0.05%
2486        0.05%
1117        0.05%
1205        0.04%
415         0.04%
2219        0.04%
1133        0.04%
2485        0.04%
411         0.04%
2461        0.04%
2167        0.04%
287         0.04%
1143        0.03%
2227        0.03%
2477        0.03%
1141        0.03%
2221        0.03%
2231        0.03%
111         0.03%
175         0.03%
2357        0.03%
2165        0.03%
511         0.03%
2229        0.03%
431         0.03%
3511        0.02%
1207        0.02%
427         0.02%
623         0.02%
223         0.02%
255         0.02%
319         0.02%
2191        0.02%
2163        0.02%
367         0.02%
3510        0.01%
2205        0.01%
2267        0.01%
693         0.01%
2359        0.01%
2343        0.01%
3435        0.01%
159         0.01%
303         0.01%
2203        0.01%
2135        0.01%
2349        0.01%
351         0.01%
2319        0.01%
927         0.01%
1131        0.01%
2285        0.01%
2483        0.01%
943         0.01%
959         0.01%
3438        0.01%
1215        0.01%
2347        0.01%
2295        0.01%
2293        0.01%
2999        0.01%
687         0.01%
1471        0.01%
2291        0.01%
879         0.00%
2559        0.00%
3583        0.00%
2283        0.00%
2215        0.00%
2975        0.00%
2159        0.00%
3519        0.00%
2475        0.00%
430         0.00%
815         0.00%
1199        0.00%
2479        0.00%
2462        0.00%
3455        0.00%
1135        0.00%
2927        0.00%
2463        0.00%
2423        0.00%
2223        0.00%
2415        0.00%
1279        0.00%
2239        0.00%
2287        0.00%
2495        0.00%
735         0.00%
3446        0.00%
2459        0.00%
3327        0.00%
2478        0.00%
2351        0.00%
2271        0.00%
4095        0.00%
1151        0.00%
863         0.00%
2303        0.00%
2935        0.00%
3502        0.00%
1791        0.00%
1327        0.00%
2991        0.00%
2367        0.00%
2399        0.00%
3310        0.00%
2799        0.00%
