Motifs:     Frequencies:
21          10.30%
164         9.03%
38          7.09%
7           6.49%
292         4.72%
14          4.68%
161         3.84%
54          3.56%
162         3.51%
55          2.39%
39          2.34%
310         1.99%
270         1.98%
53          1.95%
294         1.92%
275         1.92%
78          1.90%
15          1.50%
278         1.48%
182         1.34%
291         1.32%
43          1.21%
2194        1.16%
267         0.94%
47          0.90%
2193        0.89%
2196        0.79%
142         0.75%
102         0.68%
150         0.68%
166         0.64%
2212        0.63%
63          0.58%
2342        0.56%
439         0.53%
86          0.52%
171         0.50%
2126        0.48%
119         0.44%
311         0.43%
590         0.40%
2230        0.40%
179         0.40%
79          0.39%
183         0.39%
438         0.38%
2358        0.37%
283         0.36%
173         0.33%
307         0.32%
2318        0.32%
413         0.22%
1206        0.21%
299         0.20%
271         0.20%
309         0.19%
1318        0.18%
174         0.18%
1190        0.17%
157         0.17%
1102        0.16%
143         0.16%
158         0.16%
2190        0.16%
614         0.15%
279         0.15%
806         0.15%
2214        0.14%
447         0.14%
295         0.14%
2150        0.14%
181         0.13%
151         0.13%
95          0.13%
191         0.12%
301         0.12%
2487        0.11%
435         0.11%
2486        0.10%
1197        0.10%
631         0.09%
1166        0.09%
411         0.09%
415         0.09%
591         0.08%
511         0.07%
1142        0.07%
2294        0.07%
2485        0.07%
2188        0.07%
1126        0.07%
1133        0.06%
1205        0.06%
951         0.06%
287         0.06%
2127        0.06%
431         0.06%
1195        0.05%
3511        0.05%
1117        0.05%
678         0.05%
2357        0.05%
175         0.05%
111         0.05%
2227        0.05%
629         0.05%
255         0.05%
223         0.05%
2231        0.05%
2461        0.04%
2219        0.04%
319         0.04%
1143        0.04%
1141        0.04%
2167        0.04%
2477        0.04%
427         0.04%
1207        0.03%
367         0.03%
159         0.03%
2359        0.03%
2229        0.03%
3510        0.03%
2221        0.03%
623         0.03%
2267        0.03%
2165        0.03%
303         0.03%
2343        0.02%
2203        0.02%
351         0.02%
3435        0.02%
2483        0.02%
2163        0.02%
1215        0.02%
959         0.01%
2191        0.01%
1471        0.01%
2999        0.01%
2205        0.01%
943         0.01%
693         0.01%
927         0.01%
3438        0.01%
2319        0.01%
2349        0.01%
2285        0.01%
3583        0.01%
2295        0.01%
2559        0.01%
687         0.01%
2291        0.01%
879         0.01%
2293        0.01%
2135        0.01%
3519        0.01%
1131        0.01%
2283        0.01%
2347        0.01%
430         0.01%
2975        0.01%
1199        0.01%
2479        0.01%
3455        0.01%
2215        0.00%
1279        0.00%
2495        0.00%
2462        0.00%
3327        0.00%
2159        0.00%
2927        0.00%
2475        0.00%
2239        0.00%
4095        0.00%
2415        0.00%
1151        0.00%
3446        0.00%
2423        0.00%
815         0.00%
2463        0.00%
2478        0.00%
2223        0.00%
2459        0.00%
1135        0.00%
735         0.00%
2303        0.00%
2351        0.00%
2935        0.00%
2271        0.00%
863         0.00%
1791        0.00%
3502        0.00%
2287        0.00%
2367        0.00%
2991        0.00%
1327        0.00%
2399        0.00%
3310        0.00%
2799        0.00%
