Motifs:     Frequencies:
21          9.00%
164         8.74%
38          7.62%
7           6.54%
292         6.17%
54          4.12%
14          3.98%
161         3.67%
162         3.12%
55          2.98%
310         2.65%
294         2.51%
39          2.48%
53          2.01%
270         1.92%
275         1.89%
278         1.83%
78          1.64%
182         1.23%
15          1.17%
291         1.15%
2194        1.10%
43          0.96%
47          0.84%
2193        0.80%
267         0.76%
63          0.73%
439         0.72%
2196        0.69%
2342        0.67%
102         0.62%
150         0.60%
311         0.59%
142         0.59%
166         0.58%
2212        0.57%
2358        0.48%
438         0.45%
2126        0.44%
171         0.43%
86          0.42%
183         0.41%
119         0.41%
179         0.40%
307         0.40%
2230        0.38%
173         0.37%
283         0.34%
590         0.33%
79          0.29%
2318        0.28%
309         0.19%
413         0.18%
279         0.17%
447         0.17%
301         0.17%
271         0.17%
295         0.16%
1206        0.16%
1318        0.16%
299         0.15%
174         0.15%
151         0.14%
2190        0.14%
2150        0.14%
435         0.14%
158         0.14%
1190        0.14%
143         0.14%
806         0.13%
2214        0.13%
181         0.13%
2486        0.13%
1102        0.13%
191         0.12%
1197        0.12%
2487        0.12%
157         0.12%
95          0.11%
614         0.11%
511         0.11%
411         0.09%
415         0.08%
3511        0.07%
2485        0.07%
1166        0.07%
591         0.06%
2188        0.06%
319         0.06%
2357        0.06%
287         0.06%
1133        0.06%
2294        0.06%
431         0.06%
631         0.05%
1142        0.05%
1205        0.05%
1126        0.05%
2227        0.05%
255         0.05%
1117        0.05%
223         0.05%
111         0.05%
2359        0.05%
951         0.05%
3510        0.04%
175         0.04%
2231        0.04%
2127        0.04%
367         0.04%
678         0.04%
2167        0.04%
2267        0.04%
1195        0.04%
2219        0.04%
1143        0.03%
629         0.03%
427         0.03%
2477        0.03%
623         0.03%
1141        0.03%
1207        0.03%
159         0.03%
2229        0.03%
303         0.03%
2461        0.03%
2165        0.02%
2221        0.02%
351         0.02%
2203        0.02%
2343        0.02%
1471        0.02%
2483        0.02%
3583        0.02%
3519        0.02%
879         0.01%
1215        0.01%
943         0.01%
2999        0.01%
2559        0.01%
2163        0.01%
2191        0.01%
2295        0.01%
2319        0.01%
3435        0.01%
3438        0.01%
2349        0.01%
2291        0.01%
959         0.01%
2285        0.01%
693         0.01%
2205        0.01%
927         0.01%
2135        0.01%
2293        0.01%
4095        0.01%
687         0.01%
2975        0.01%
430         0.01%
2927        0.01%
2283        0.01%
2495        0.01%
1131        0.01%
3455        0.00%
2479        0.00%
2347        0.00%
815         0.00%
2462        0.00%
2475        0.00%
2215        0.00%
3327        0.00%
2423        0.00%
1279        0.00%
735         0.00%
3446        0.00%
2935        0.00%
2239        0.00%
2478        0.00%
2223        0.00%
2367        0.00%
2271        0.00%
1199        0.00%
1791        0.00%
1151        0.00%
2463        0.00%
2351        0.00%
2303        0.00%
2415        0.00%
2159        0.00%
2459        0.00%
1135        0.00%
3502        0.00%
2287        0.00%
863         0.00%
2991        0.00%
1327        0.00%
2399        0.00%
3310        0.00%
2799        0.00%
