Motifs:     Frequencies:
7           11.76%
38          8.63%
21          7.61%
164         6.34%
292         5.78%
54          5.38%
55          4.20%
14          3.42%
39          3.14%
310         2.75%
161         2.75%
53          2.56%
294         2.55%
162         1.92%
278         1.57%
270         1.47%
47          1.38%
63          1.35%
275         1.35%
78          1.34%
15          1.23%
182         1.04%
43          0.97%
439         0.88%
291         0.86%
2194        0.82%
311         0.63%
438         0.60%
2193        0.58%
2342        0.56%
267         0.54%
150         0.52%
102         0.52%
2196        0.47%
166         0.46%
183         0.45%
2358        0.43%
179         0.40%
173         0.40%
142         0.39%
119         0.37%
171         0.36%
86          0.36%
2212        0.34%
307         0.33%
2126        0.31%
2230        0.29%
283         0.29%
79          0.27%
2318        0.24%
447         0.24%
590         0.23%
309         0.21%
301         0.21%
295         0.18%
413         0.17%
511         0.16%
279         0.16%
151         0.15%
181         0.15%
299         0.14%
435         0.14%
191         0.14%
271         0.13%
2487        0.13%
95          0.13%
174         0.13%
2486        0.12%
1206        0.12%
143         0.12%
157         0.12%
158         0.12%
1318        0.12%
806         0.10%
1190        0.10%
415         0.10%
1197        0.10%
411         0.10%
2150        0.10%
2214        0.09%
614         0.09%
1102        0.09%
2190        0.08%
431         0.08%
3511        0.08%
319         0.08%
255         0.07%
223         0.07%
2485        0.06%
287         0.06%
1133        0.06%
367         0.06%
111         0.06%
2294        0.05%
2357        0.05%
3510        0.05%
631         0.05%
175         0.05%
951         0.05%
1166        0.04%
2359        0.04%
2267        0.04%
2227        0.04%
1205        0.04%
1142        0.04%
427         0.04%
1126        0.04%
591         0.04%
2231        0.04%
1117        0.04%
303         0.03%
159         0.03%
1195        0.03%
2127        0.03%
2203        0.03%
2188        0.03%
678         0.03%
351         0.03%
2219        0.03%
2477        0.03%
1143        0.03%
1207        0.03%
2167        0.03%
629         0.03%
2229        0.02%
1141        0.02%
2461        0.02%
2221        0.02%
2343        0.02%
623         0.02%
3583        0.02%
2483        0.02%
1471        0.02%
2999        0.02%
2165        0.02%
3519        0.02%
879         0.01%
2559        0.01%
943         0.01%
927         0.01%
2295        0.01%
2163        0.01%
1215        0.01%
959         0.01%
3435        0.01%
2349        0.01%
2319        0.01%
2285        0.01%
3438        0.01%
2205        0.01%
2291        0.01%
4095        0.01%
2293        0.01%
2191        0.01%
693         0.01%
430         0.01%
3455        0.01%
2927        0.01%
2495        0.01%
2135        0.01%
2975        0.01%
687         0.01%
2479        0.01%
2283        0.01%
1131        0.01%
3327        0.01%
2462        0.00%
2423        0.00%
2935        0.00%
1279        0.00%
815         0.00%
2347        0.00%
735         0.00%
3446        0.00%
2239        0.00%
1791        0.00%
1199        0.00%
2215        0.00%
2159        0.00%
2271        0.00%
2475        0.00%
2351        0.00%
2463        0.00%
2367        0.00%
2478        0.00%
2303        0.00%
2223        0.00%
2415        0.00%
1151        0.00%
2459        0.00%
3502        0.00%
1135        0.00%
863         0.00%
2287        0.00%
2991        0.00%
1327        0.00%
2399        0.00%
2799        0.00%
3310        0.00%
