Motifs:     Frequencies:
164         11.15%
21          10.77%
162         7.10%
161         5.29%
14          5.12%
38          4.82%
292         4.11%
7           3.94%
78          2.44%
54          2.40%
275         2.07%
270         2.05%
267         1.81%
2196        1.81%
2194        1.57%
15          1.56%
182         1.56%
291         1.47%
2212        1.35%
142         1.31%
294         1.30%
310         1.26%
39          1.25%
2193        1.22%
55          1.21%
43          1.21%
278         1.10%
53          1.07%
150         0.77%
102         0.77%
166         0.74%
86          0.66%
2126        0.54%
171         0.54%
590         0.49%
79          0.48%
2230        0.43%
119         0.42%
2342        0.42%
47          0.40%
1102        0.36%
2318        0.35%
283         0.33%
2190        0.30%
439         0.26%
413         0.25%
1206        0.25%
2358        0.24%
2188        0.24%
63          0.23%
299         0.23%
311         0.23%
179         0.22%
1190        0.22%
307         0.22%
183         0.22%
157         0.21%
614         0.20%
438         0.20%
173         0.20%
271         0.20%
1318        0.20%
2150        0.18%
1166        0.18%
806         0.18%
158         0.18%
143         0.17%
2214        0.17%
174         0.17%
1142        0.16%
1126        0.15%
678         0.12%
309         0.10%
279         0.10%
591         0.09%
295         0.08%
181         0.08%
631         0.07%
151         0.07%
2294        0.07%
301         0.07%
95          0.07%
1197        0.06%
1195        0.06%
2127        0.06%
2487        0.06%
435         0.06%
191         0.06%
2486        0.06%
447         0.06%
2219        0.06%
411         0.06%
629         0.05%
1117        0.05%
951         0.05%
2461        0.05%
1133        0.05%
415         0.05%
2485        0.05%
1143        0.04%
2477        0.04%
1141        0.04%
2167        0.04%
2221        0.04%
1205        0.04%
2357        0.03%
287         0.03%
2165        0.03%
111         0.03%
2227        0.03%
175         0.03%
511         0.03%
2231        0.03%
3511        0.03%
431         0.03%
427         0.02%
2229        0.02%
2359        0.02%
319         0.02%
255         0.02%
223         0.02%
2267        0.02%
1207        0.02%
2205        0.02%
3510        0.02%
2163        0.02%
2191        0.02%
367         0.02%
159         0.02%
3435        0.02%
693         0.02%
2343        0.01%
303         0.01%
623         0.01%
2203        0.01%
2349        0.01%
2319        0.01%
2135        0.01%
2285        0.01%
1131        0.01%
2347        0.01%
2483        0.01%
351         0.01%
3438        0.01%
959         0.01%
2999        0.01%
1471        0.01%
2295        0.01%
927         0.01%
2559        0.01%
2293        0.01%
943         0.01%
1215        0.01%
3583        0.01%
687         0.01%
2283        0.01%
2291        0.01%
879         0.01%
3519        0.01%
2479        0.00%
2975        0.00%
2475        0.00%
2495        0.00%
2462        0.00%
2159        0.00%
430         0.00%
1199        0.00%
1151        0.00%
2215        0.00%
3455        0.00%
1279        0.00%
815         0.00%
2239        0.00%
4095        0.00%
2927        0.00%
2223        0.00%
3327        0.00%
735         0.00%
2459        0.00%
1135        0.00%
2423        0.00%
2478        0.00%
2271        0.00%
3446        0.00%
2351        0.00%
2935        0.00%
2463        0.00%
2303        0.00%
2415        0.00%
2367        0.00%
2287        0.00%
1791        0.00%
3502        0.00%
863         0.00%
2991        0.00%
1327        0.00%
2399        0.00%
3310        0.00%
2799        0.00%
