Motifs:     Frequencies:
292         18.57%
38          13.38%
164         9.02%
54          8.02%
7           7.09%
21          5.75%
310         5.46%
161         3.91%
294         3.89%
278         3.56%
39          2.88%
55          2.75%
14          2.25%
53          1.82%
270         1.48%
291         1.39%
2358        1.07%
162         0.92%
311         0.80%
275         0.79%
2342        0.63%
307         0.61%
439         0.54%
2318        0.26%
295         0.25%
151         0.21%
63          0.18%
183         0.16%
435         0.14%
47          0.13%
309         0.13%
2194        0.12%
438         0.12%
150         0.12%
2359        0.12%
173         0.11%
2487        0.10%
279         0.10%
179         0.09%
2196        0.08%
301         0.08%
3511        0.07%
2357        0.07%
102         0.06%
2193        0.05%
166         0.05%
2343        0.03%
181         0.03%
283         0.03%
319         0.03%
447         0.03%
86          0.03%
1133        0.03%
15          0.03%
78          0.02%
182         0.02%
2486        0.02%
3510        0.02%
1190        0.02%
2483        0.02%
511         0.02%
2267        0.02%
267         0.01%
43          0.01%
1207        0.01%
191         0.01%
1197        0.01%
287         0.01%
2485        0.01%
1318        0.01%
2203        0.01%
2231        0.01%
303         0.01%
223         0.01%
255         0.01%
159         0.01%
95          0.01%
411         0.00%
2229        0.00%
1471        0.00%
1205        0.00%
3519        0.00%
2559        0.00%
3583        0.00%
590         0.00%
351         0.00%
299         0.00%
806         0.00%
2227        0.00%
2495        0.00%
2367        0.00%
431         0.00%
367         0.00%
614         0.00%
415         0.00%
4095        0.00%
2150        0.00%
1206        0.00%
271         0.00%
1215        0.00%
143         0.00%
79          0.00%
175         0.00%
427         0.00%
111         0.00%
158         0.00%
157         0.00%
2351        0.00%
879         0.00%
2239        0.00%
623         0.00%
2927        0.00%
1279        0.00%
2423        0.00%
1199        0.00%
2399        0.00%
1126        0.00%
1791        0.00%
3327        0.00%
2271        0.00%
815         0.00%
413         0.00%
591         0.00%
2319        0.00%
2935        0.00%
2135        0.00%
2349        0.00%
2462        0.00%
2463        0.00%
863         0.00%
2459        0.00%
1327        0.00%
735         0.00%
2303        0.00%
2159        0.00%
2415        0.00%
1135        0.00%
1131        0.00%
