Motifs:     Frequencies:
164         11.96%
21          11.43%
162         7.52%
161         5.30%
14          5.25%
38          5.18%
292         4.31%
7           3.81%
54          2.56%
270         2.21%
78          2.17%
275         2.14%
2196        1.71%
267         1.65%
2194        1.48%
182         1.46%
291         1.38%
2212        1.37%
310         1.35%
15          1.34%
294         1.32%
142         1.31%
55          1.30%
39          1.28%
2193        1.19%
278         1.15%
53          1.11%
43          1.09%
102         0.74%
166         0.74%
150         0.73%
86          0.61%
2126        0.52%
171         0.45%
590         0.41%
2230        0.40%
119         0.40%
47          0.39%
79          0.35%
2342        0.34%
1102        0.32%
283         0.31%
2190        0.30%
2318        0.29%
2188        0.24%
439         0.23%
63          0.22%
311         0.21%
307         0.21%
2358        0.20%
179         0.20%
1206        0.20%
183         0.19%
413         0.19%
173         0.19%
1190        0.19%
271         0.19%
438         0.19%
1318        0.18%
614         0.18%
2150        0.17%
299         0.17%
158         0.17%
806         0.17%
2214        0.17%
1166        0.16%
143         0.16%
174         0.16%
157         0.15%
1126        0.13%
1142        0.12%
678         0.10%
279         0.10%
309         0.09%
181         0.08%
631         0.06%
591         0.06%
295         0.06%
151         0.06%
1197        0.06%
95          0.05%
435         0.05%
2294        0.05%
2127        0.05%
301         0.05%
1117        0.05%
629         0.05%
191         0.05%
411         0.05%
1195        0.05%
2486        0.05%
447         0.05%
2219        0.05%
415         0.04%
1133        0.04%
951         0.04%
2485        0.04%
2487        0.04%
1141        0.04%
1143        0.03%
2167        0.03%
2461        0.03%
2221        0.03%
2477        0.03%
2165        0.03%
1205        0.03%
287         0.03%
111         0.03%
175         0.03%
2357        0.02%
431         0.02%
2227        0.02%
2229        0.02%
511         0.02%
2231        0.02%
427         0.02%
367         0.02%
3511        0.02%
623         0.02%
223         0.02%
2163        0.01%
255         0.01%
1207        0.01%
2191        0.01%
319         0.01%
2205        0.01%
3510        0.01%
2359        0.01%
693         0.01%
2267        0.01%
3435        0.01%
2203        0.01%
2319        0.01%
159         0.01%
2135        0.01%
2343        0.01%
2285        0.01%
303         0.01%
2349        0.01%
1131        0.01%
2347        0.01%
687         0.01%
2483        0.01%
927         0.01%
351         0.01%
943         0.01%
2295        0.01%
2293        0.01%
3438        0.01%
959         0.01%
2999        0.01%
879         0.01%
1471        0.00%
1215        0.00%
2291        0.00%
2283        0.00%
2975        0.00%
2559        0.00%
3583        0.00%
2475        0.00%
3519        0.00%
2479        0.00%
3455        0.00%
430         0.00%
1151        0.00%
2462        0.00%
2159        0.00%
2215        0.00%
3446        0.00%
2223        0.00%
815         0.00%
2459        0.00%
2927        0.00%
1791        0.00%
2463        0.00%
1135        0.00%
2239        0.00%
1199        0.00%
735         0.00%
2287        0.00%
2495        0.00%
2271        0.00%
2478        0.00%
2415        0.00%
1279        0.00%
2423        0.00%
2935        0.00%
3327        0.00%
2303        0.00%
2351        0.00%
3502        0.00%
4095        0.00%
863         0.00%
2367        0.00%
2991        0.00%
1327        0.00%
2399        0.00%
3310        0.00%
2799        0.00%
