Motifs:     Frequencies:
34952       12.31%
2252        5.04%
2188        4.36%
3276        3.88%
33416       3.67%
36044       3.10%
206         2.83%
33409       2.77%
1098        2.76%
2124        2.46%
142         2.33%
238         2.14%
15          1.89%
33996       1.79%
35020       1.62%
34892       1.60%
202         1.52%
3310        1.35%
34956       1.34%
33860       1.26%
33868       1.22%
45          1.17%
2150        1.06%
716         1.02%
33484       0.91%
34950       0.84%
1162        0.83%
2222        0.82%
3246        0.81%
2214        0.76%
105         0.74%
560332      0.67%
2286        0.66%
2092        0.66%
239         0.65%
1066        0.60%
2190        0.59%
207         0.53%
143         0.52%
2213        0.49%
2253        0.49%
173         0.48%
2076        0.47%
1099        0.47%
3278        0.47%
2158        0.46%
284         0.46%
717         0.42%
1166        0.41%
33926       0.41%
52462       0.40%
2460        0.40%
33052       0.39%
34886       0.39%
2764        0.37%
559308      0.37%
237         0.37%
2245        0.34%
33412       0.33%
34918       0.33%
30          0.32%
713         0.32%
34860       0.31%
36046       0.31%
17025       0.29%
33894       0.27%
36078       0.27%
2246        0.26%
2250        0.26%
34508       0.25%
158         0.23%
35014       0.23%
33836       0.23%
2254        0.22%
33485       0.22%
17032       0.22%
461         0.21%
33820       0.21%
557772      0.21%
35013       0.20%
33477       0.18%
18502       0.18%
1195        0.18%
35950       0.18%
34844       0.18%
34501       0.16%
1131        0.16%
17026       0.16%
3823        0.16%
33862       0.15%
2094        0.15%
586         0.14%
2249        0.14%
52334       0.14%
35021       0.14%
33990       0.13%
972         0.12%
36035       0.12%
2287        0.12%
3311        0.11%
2243        0.11%
52430       0.11%
2223        0.11%
17518       0.11%
19115       0.11%
559244      0.10%
2078        0.10%
34958       0.10%
557340      0.10%
34951       0.10%
1050        0.10%
17513       0.09%
668         0.09%
2279        0.08%
34926       0.08%
17606       0.08%
3307        0.08%
35022       0.08%
2149        0.07%
6827        0.07%
17550       0.07%
1227        0.07%
34981       0.07%
35499       0.07%
1067        0.07%
34919       0.07%
2735        0.07%
2142        0.07%
33475       0.07%
19694       0.06%
3134        0.06%
2191        0.06%
707         0.06%
559180      0.06%
559148      0.06%
2799        0.06%
560334      0.06%
27299       0.06%
17548       0.06%
17646       0.06%
3037        0.05%
838894      0.05%
2123        0.05%
33229       0.05%
2115        0.05%
35015       0.05%
36014       0.05%
559132      0.05%
2396        0.05%
3243        0.05%
300         0.05%
33308       0.05%
35054       0.05%
19566       0.05%
35532       0.05%
557773      0.05%
255         0.04%
33414       0.04%
33989       0.04%
18567       0.04%
576750      0.04%
18597       0.04%
1643        0.04%
19558       0.04%
2147        0.04%
924         0.04%
35491       0.04%
2795        0.04%
34894       0.04%
2726        0.04%
34917       0.04%
33481       0.04%
33902       0.04%
560366      0.03%
559820      0.03%
35902       0.03%
17614       0.03%
223         0.03%
33998       0.03%
19107       0.03%
34838       0.03%
33221       0.03%
541220      0.03%
558028      0.03%
557769      0.03%
33443       0.03%
2255        0.03%
10445       0.03%
33814       0.03%
33997       0.03%
61167       0.03%
3275        0.03%
27306       0.03%
34499       0.03%
35943       0.03%
559         0.03%
52463       0.03%
36079       0.02%
16940       0.02%
3230        0.02%
2221        0.02%
17486       0.02%
19113       0.02%
838862      0.02%
17030       0.02%
33934       0.02%
558         0.02%
18510       0.02%
3822        0.02%
989         0.02%
733         0.02%
19630       0.02%
36071       0.02%
33895       0.02%
52975       0.02%
560302      0.02%
8838        0.02%
3247        0.02%
557763      0.02%
36039       0.02%
2269        0.02%
34969       0.02%
51882       0.02%
150187      0.02%
687         0.02%
35498       0.02%
17452       0.02%
559236      0.02%
550503      0.02%
34407       0.02%
2781        0.02%
17612       0.02%
35529       0.02%
3279        0.02%
8857        0.02%
36591       0.02%
34030       0.02%
2283        0.02%
17028       0.02%
2141        0.02%
576718      0.02%
35047       0.02%
2285        0.02%
559240      0.01%
2734        0.01%
18533       0.01%
2159        0.01%
541801      0.01%
541218      0.01%
2791        0.01%
33958       0.01%
17519       0.01%
8653        0.01%
33993       0.01%
17305       0.01%
17517       0.01%
19097       0.01%
35017       0.01%
684         0.01%
557356      0.01%
35525       0.01%
36047       0.01%
576622      0.01%
52455       0.01%
559310      0.01%
34901       0.01%
2110        0.01%
52318       0.01%
9421        0.01%
19622       0.01%
17059       0.01%
2095        0.01%
268971      0.01%
33945       0.01%
6284        0.01%
751         0.01%
18572       0.01%
17566       0.01%
159         0.01%
654         0.01%
91751       0.01%
17438       0.01%
17049       0.01%
559309      0.01%
33994       0.01%
559302      0.01%
8645        0.01%
2732        0.01%
2667        0.01%
541217      0.01%
35055       0.01%
541838      0.01%
35023       0.01%
19662       0.01%
34846       0.01%
557517      0.01%
3293        0.01%
36583       0.01%
2251        0.01%
2155        0.01%
559516      0.01%
33433       0.01%
2366        0.01%
3309        0.01%
8909        0.01%
18476       0.01%
541836      0.01%
17647       0.01%
33870       0.01%
20207       0.01%
19654       0.01%
8901        0.01%
715         0.01%
33449       0.01%
18638       0.01%
35495       0.01%
33757       0.01%
280652      0.01%
2716        0.01%
2167        0.01%
559306      0.01%
685         0.01%
18508       0.01%
18025       0.01%
2797        0.01%
17609       0.01%
1438        0.01%
219         0.01%
560190      0.01%
33225       0.01%
558281      0.01%
2652        0.01%
8782        0.01%
314574      0.01%
35018       0.01%
52327       0.01%
34910       0.01%
559342      0.01%
2205        0.01%
4095        0.01%
3179        0.01%
36061       0.01%
619         0.01%
2303        0.01%
35037       0.01%
34535       0.01%
6843        0.01%
26223       0.01%
19695       0.01%
52967       0.01%
18031       0.01%
19626       0.01%
3839        0.01%
52974       0.01%
61159       0.01%
2478        0.01%
34403       0.01%
273066      0.01%
318         0.01%
17065       0.01%
719         0.01%
136089      0.01%
280782      0.01%
35523       0.01%
33991       0.01%
52461       0.01%
33962       0.01%
2197        0.01%
557980      0.01%
669         0.00%
17436       0.00%
34959       0.00%
33479       0.00%
34406       0.00%
6188        0.00%
541228      0.00%
17645       0.00%
19114       0.00%
36590       0.00%
27034       0.00%
2510        0.00%
28399       0.00%
686         0.00%
61166       0.00%
33822       0.00%
135765      0.00%
26351       0.00%
2462        0.00%
17543       0.00%
33379       0.00%
36075       0.00%
34412       0.00%
33450       0.00%
1454        0.00%
576710      0.00%
18471       0.00%
297643      0.00%
33383       0.00%
559246      0.00%
280620      0.00%
6220        0.00%
19387       0.00%
271957      0.00%
17487       0.00%
36043       0.00%
2798        0.00%
52431       0.00%
17484       0.00%
2206        0.00%
3327        0.00%
8908        0.00%
281259      0.00%
557513      0.00%
2153        0.00%
33365       0.00%
576614      0.00%
2157        0.00%
33501       0.00%
413         0.00%
26218       0.00%
52423       0.00%
19614       0.00%
838860      0.00%
2127        0.00%
618         0.00%
749         0.00%
26343       0.00%
541224      0.00%
560367      0.00%
462         0.00%
26222       0.00%
33158       0.00%
17613       0.00%
33893       0.00%
19559       0.00%
5196        0.00%
34909       0.00%
27579       0.00%
550499      0.00%
35951       0.00%
27302       0.00%
559206      0.00%
2709        0.00%
18027       0.00%
576716      0.00%
8649        0.00%
559274      0.00%
35431       0.00%
297166      0.00%
978671      0.00%
18159       0.00%
2815        0.00%
838895      0.00%
6172        0.00%
18503       0.00%
314462      0.00%
528947      0.00%
560331      0.00%
34925       0.00%
3007        0.00%
41949       0.00%
2766        0.00%
19660       0.00%
1179        0.00%
576751      0.00%
34927       0.00%
35494       0.00%
35503       0.00%
549683      0.00%
10310       0.00%
18605       0.00%
2175        0.00%
5164        0.00%
61          0.00%
550502      0.00%
28391       0.00%
34110       0.00%
34935       0.00%
50791       0.00%
295731      0.00%
3071        0.00%
2239        0.00%
847599      0.00%
31          0.00%
52155       0.00%
4380        0.00%
560335      0.00%
34502       0.00%
52382       0.00%
585455      0.00%
35891       0.00%
3259        0.00%
714         0.00%
718         0.00%
35567       0.00%
33999       0.00%
35771       0.00%
35559       0.00%
747         0.00%
33388       0.00%
1083        0.00%
279347      0.00%
828         0.00%
560363      0.00%
6877        0.00%
280749      0.00%
36011       0.00%
18526       0.00%
20203       0.00%
10439       0.00%
617         0.00%
33595       0.00%
10318       0.00%
51881       0.00%
34254       0.00%
19110       0.00%
839407      0.00%
33487       0.00%
19119       0.00%
9838        0.00%
2751        0.00%
9967        0.00%
34543       0.00%
36077       0.00%
148377      0.00%
35515       0.00%
33877       0.00%
42727       0.00%
279084      0.00%
52335       0.00%
560299      0.00%
35053       0.00%
36587       0.00%
559134      0.00%
52971       0.00%
34903       0.00%
19691       0.00%
164761      0.00%
3263        0.00%
42461       0.00%
576707      0.00%
19693       0.00%
543982      0.00%
541740      0.00%
543918      0.00%
9949        0.00%
19606       0.00%
281838      0.00%
297642      0.00%
34965       0.00%
838814      0.00%
34973       0.00%
302         0.00%
281774      0.00%
577263      0.00%
18460       0.00%
19567       0.00%
8652        0.00%
17639       0.00%
36007       0.00%
34414       0.00%
33094       0.00%
35563       0.00%
3519        0.00%
36015       0.00%
50919       0.00%
559305      0.00%
26349       0.00%
272557      0.00%
541865      0.00%
51899       0.00%
34031       0.00%
4636        0.00%
18151       0.00%
17822       0.00%
2231        0.00%
560879      0.00%
6238        0.00%
838893      0.00%
10926       0.00%
10413       0.00%
34510       0.00%
166093      0.00%
558045      0.00%
298158      0.00%
33478       0.00%
42735       0.00%
541235      0.00%
35934       0.00%
2271        0.00%
33452       0.00%
838858      0.00%
33723       0.00%
398         0.00%
2665        0.00%
18669       0.00%
541854      0.00%
43741       0.00%
141517      0.00%
17615       0.00%
3006        0.00%
34542       0.00%
576743      0.00%
51951       0.00%
36095       0.00%
557731      0.00%
576682      0.00%
3131        0.00%
315119      0.00%
35959       0.00%
33382       0.00%
33117       0.00%
559311      0.00%
6214        0.00%
18629       0.00%
2495        0.00%
560349      0.00%
576719      0.00%
10333       0.00%
286         0.00%
528981      0.00%
268969      0.00%
281257      0.00%
572         0.00%
2671        0.00%
19555       0.00%
152951      0.00%
17607       0.00%
17774       0.00%
2263        0.00%
750         0.00%
270892      0.00%
576747      0.00%
34023       0.00%
767         0.00%
139725      0.00%
541724      0.00%
33486       0.00%
35549       0.00%
33941       0.00%
557884      0.00%
8601        0.00%
8846        0.00%
19111       0.00%
19687       0.00%
44238       0.00%
34415       0.00%
28395       0.00%
2143        0.00%
33219       0.00%
17551       0.00%
18631       0.00%
558222      0.00%
33381       0.00%
280781      0.00%
273065      0.00%
839406      0.00%
65535       0.00%
33949       0.00%
1115        0.00%
21918       0.00%
35379       0.00%
280813      0.00%
93115       0.00%
703         0.00%
35134       0.00%
978663      0.00%
33843       0.00%
273061      0.00%
35435       0.00%
17069       0.00%
8911        0.00%
33350       0.00%
33230       0.00%
19563       0.00%
18637       0.00%
280604      0.00%
279209      0.00%
3775        0.00%
1051        0.00%
19627       0.00%
34013       0.00%
35526       0.00%
17135       0.00%
