Motifs:     Frequencies:
164         11.43%
21          11.32%
162         7.30%
161         5.24%
14          5.24%
38          4.96%
7           4.06%
292         4.02%
54          2.43%
78          2.42%
270         2.07%
275         2.06%
267         1.78%
2196        1.76%
15          1.55%
182         1.54%
2194        1.52%
291         1.46%
2212        1.37%
142         1.36%
39          1.26%
294         1.24%
43          1.23%
55          1.22%
310         1.19%
2193        1.17%
53          1.07%
278         1.02%
150         0.78%
102         0.77%
166         0.75%
86          0.68%
2126        0.53%
171         0.53%
590         0.47%
79          0.46%
119         0.43%
2230        0.42%
47          0.37%
1102        0.37%
2342        0.34%
283         0.31%
2318        0.30%
2190        0.30%
2188        0.25%
1206        0.23%
413         0.23%
299         0.22%
63          0.22%
439         0.22%
157         0.21%
1190        0.21%
311         0.21%
614         0.21%
2358        0.20%
307         0.20%
271         0.19%
179         0.19%
143         0.19%
173         0.19%
806         0.19%
183         0.19%
158         0.19%
1318        0.18%
2150        0.18%
1166        0.18%
438         0.17%
2214        0.17%
174         0.17%
1126        0.14%
1142        0.14%
678         0.12%
279         0.09%
309         0.09%
181         0.08%
295         0.07%
2294        0.07%
591         0.07%
631         0.07%
2127        0.06%
1195        0.06%
151         0.06%
95          0.06%
301         0.06%
2219        0.06%
1117        0.05%
629         0.05%
191         0.05%
435         0.05%
1197        0.05%
2461        0.05%
951         0.05%
447         0.04%
2486        0.04%
411         0.04%
2487        0.04%
415         0.04%
1133        0.04%
2167        0.04%
1143        0.04%
2485        0.04%
2221        0.04%
1141        0.04%
2477        0.03%
2165        0.03%
111         0.03%
287         0.03%
2357        0.03%
1205        0.02%
175         0.02%
2227        0.02%
427         0.02%
431         0.02%
2205        0.02%
2231        0.02%
2229        0.02%
511         0.02%
3511        0.02%
2191        0.02%
319         0.02%
2359        0.02%
255         0.01%
2163        0.01%
223         0.01%
693         0.01%
367         0.01%
3435        0.01%
159         0.01%
1207        0.01%
2267        0.01%
3510        0.01%
2203        0.01%
623         0.01%
1131        0.01%
2319        0.01%
2343        0.01%
303         0.01%
2347        0.01%
2135        0.01%
2349        0.01%
2285        0.01%
351         0.01%
927         0.01%
2483        0.01%
2293        0.01%
879         0.01%
2999        0.01%
2295        0.01%
1471        0.01%
943         0.01%
3438        0.01%
2291        0.00%
1215        0.00%
687         0.00%
959         0.00%
2283        0.00%
2975        0.00%
3583        0.00%
3519        0.00%
2559        0.00%
2159        0.00%
2475        0.00%
2215        0.00%
2462        0.00%
2479        0.00%
815         0.00%
430         0.00%
2495        0.00%
1199        0.00%
2463        0.00%
2223        0.00%
1135        0.00%
3455        0.00%
2927        0.00%
1151        0.00%
2415        0.00%
2239        0.00%
2423        0.00%
2459        0.00%
1279        0.00%
3446        0.00%
2351        0.00%
3327        0.00%
2271        0.00%
3502        0.00%
2287        0.00%
863         0.00%
2478        0.00%
735         0.00%
2303        0.00%
1791        0.00%
4095        0.00%
2935        0.00%
2367        0.00%
2399        0.00%
2991        0.00%
1327        0.00%
2799        0.00%
3310        0.00%
