Motifs:     Frequencies:
7           11.67%
38          8.31%
21          7.22%
164         6.20%
292         5.47%
54          4.79%
55          3.99%
14          3.33%
39          3.01%
161         2.81%
310         2.60%
294         2.47%
53          2.46%
162         1.67%
47          1.59%
278         1.58%
63          1.57%
270         1.49%
78          1.40%
275         1.39%
15          1.27%
43          1.08%
182         1.03%
439         1.01%
2194        0.91%
291         0.88%
311         0.66%
2342        0.63%
2193        0.62%
438         0.60%
102         0.57%
150         0.53%
267         0.53%
2358        0.50%
183         0.50%
179         0.47%
2196        0.43%
166         0.43%
173         0.43%
171         0.40%
119         0.37%
307         0.37%
2126        0.35%
86          0.35%
142         0.33%
2212        0.33%
283         0.32%
2230        0.31%
447         0.31%
79          0.28%
2318        0.27%
590         0.27%
511         0.26%
309         0.23%
301         0.22%
295         0.20%
413         0.20%
191         0.18%
151         0.18%
2487        0.17%
435         0.17%
279         0.16%
299         0.16%
95          0.16%
2486        0.16%
271         0.15%
181         0.14%
411         0.14%
1206        0.13%
415         0.13%
1197        0.13%
157         0.13%
1318        0.13%
3511        0.12%
143         0.12%
255         0.12%
174         0.12%
158         0.12%
1190        0.11%
223         0.11%
806         0.11%
2150        0.10%
2214        0.10%
614         0.09%
319         0.09%
431         0.09%
1102        0.08%
1133        0.08%
2485        0.08%
287         0.08%
367         0.07%
2190        0.07%
111         0.07%
3510        0.07%
2359        0.06%
2294        0.06%
2357        0.06%
2267        0.06%
951         0.06%
303         0.05%
631         0.05%
175         0.05%
2227        0.05%
1205        0.05%
159         0.05%
1166        0.04%
2231        0.04%
427         0.04%
591         0.04%
1207        0.04%
1142        0.04%
1126        0.04%
1117        0.04%
351         0.04%
3583        0.04%
1195        0.04%
2127        0.04%
2167        0.03%
1143        0.03%
3519        0.03%
1471        0.03%
2219        0.03%
2477        0.03%
629         0.03%
2203        0.03%
1141        0.03%
2343        0.03%
2229        0.03%
623         0.03%
2559        0.03%
2461        0.02%
678         0.02%
2188        0.02%
4095        0.02%
2483        0.02%
2999        0.02%
2221        0.02%
879         0.02%
1215        0.02%
2165        0.02%
959         0.02%
943         0.01%
3438        0.01%
2319        0.01%
2295        0.01%
2495        0.01%
927         0.01%
2291        0.01%
3435        0.01%
2163        0.01%
3455        0.01%
2285        0.01%
430         0.01%
2191        0.01%
2135        0.01%
687         0.01%
2293        0.01%
2927        0.01%
1279        0.01%
2349        0.01%
2975        0.01%
693         0.01%
2205        0.01%
3327        0.01%
2283        0.01%
2423        0.01%
2479        0.01%
1199        0.01%
1791        0.01%
815         0.01%
3446        0.01%
735         0.01%
2271        0.01%
2935        0.01%
1131        0.00%
2347        0.00%
2462        0.00%
2215        0.00%
2367        0.00%
2463        0.00%
2239        0.00%
2475        0.00%
1151        0.00%
2351        0.00%
3502        0.00%
2478        0.00%
2159        0.00%
2415        0.00%
2303        0.00%
863         0.00%
1135        0.00%
2223        0.00%
2287        0.00%
2459        0.00%
2991        0.00%
2399        0.00%
1327        0.00%
2799        0.00%
3310        0.00%
