Motifs:     Frequencies:
21          12.09%
162         12.09%
164         12.07%
38          12.06%
14          6.06%
161         6.05%
7           2.02%
292         2.01%
39          1.58%
270         1.58%
275         1.58%
53          1.58%
278         1.58%
294         1.57%
166         1.57%
2212        1.57%
142         1.57%
2196        1.54%
78          1.53%
86          1.53%
150         1.53%
267         1.53%
102         1.52%
291         0.79%
2193        0.77%
2194        0.77%
15          0.76%
43          0.76%
2188        0.39%
54          0.39%
2190        0.21%
279         0.21%
309         0.21%
307         0.21%
174         0.21%
2214        0.20%
179         0.20%
2150        0.20%
1318        0.20%
2342        0.20%
2126        0.20%
806         0.20%
171         0.20%
158         0.20%
1190        0.20%
143         0.20%
47          0.20%
181         0.20%
678         0.20%
271         0.20%
182         0.20%
173         0.20%
299         0.20%
1102        0.20%
157         0.20%
614         0.19%
1126        0.19%
55          0.10%
295         0.10%
310         0.10%
1166        0.10%
151         0.10%
2318        0.10%
590         0.10%
301         0.10%
283         0.10%
79          0.10%
311         0.03%
183         0.03%
2227        0.03%
119         0.03%
2343        0.03%
2191        0.03%
2165        0.03%
2357        0.03%
438         0.03%
175         0.03%
2230        0.03%
287         0.03%
1141        0.03%
427         0.03%
2163        0.03%
629         0.03%
1195        0.03%
2221        0.03%
2219        0.03%
2229        0.03%
303         0.03%
2127        0.03%
1205        0.03%
693         0.03%
2205        0.03%
111         0.02%
2203        0.02%
1133        0.02%
159         0.02%
95          0.02%
1197        0.02%
411         0.02%
435         0.01%
2135        0.01%
1117        0.01%
1206        0.01%
1142        0.01%
2347        0.01%
1131        0.01%
2319        0.01%
413         0.01%
2349        0.01%
430         0.01%
2215        0.01%
63          0.01%
2358        0.01%
591         0.00%
2167        0.00%
2231        0.00%
2159        0.00%
623         0.00%
2478        0.00%
2293        0.00%
2462        0.00%
2477        0.00%
2223        0.00%
2485        0.00%
2461        0.00%
1143        0.00%
415         0.00%
431         0.00%
351         0.00%
2483        0.00%
2291        0.00%
2475        0.00%
2351        0.00%
2486        0.00%
1327        0.00%
191         0.00%
687         0.00%
2283        0.00%
815         0.00%
2459        0.00%
1135        0.00%
1199        0.00%
439         0.00%
319         0.00%
1207        0.00%
2294        0.00%
2359        0.00%
2267        0.00%
223         0.00%
2285        0.00%
631         0.00%
367         0.00%
2423        0.00%
2479        0.00%
447         0.00%
927         0.00%
2463        0.00%
2287        0.00%
2271        0.00%
3502        0.00%
2399        0.00%
2239        0.00%
2487        0.00%
943         0.00%
2295        0.00%
2415        0.00%
863         0.00%
3438        0.00%
951         0.00%
735         0.00%
879         0.00%
3510        0.00%
255         0.00%
1151        0.00%
3310        0.00%
1215        0.00%
3446        0.00%
2367        0.00%
959         0.00%
1279        0.00%
2999        0.00%
2991        0.00%
2495        0.00%
2303        0.00%
2927        0.00%
2935        0.00%
3435        0.00%
1471        0.00%
3511        0.00%
2799        0.00%
3455        0.00%
3327        0.00%
2559        0.00%
1791        0.00%
511         0.00%
2975        0.00%
