Motifs:	 Frequencies:
21          9.01%
164         7.62%
7           6.53%
38          6.47%
292         4.45%
14          4.03%
54          3.35%
161         3.22%
55          2.78%
162         2.68%
39          2.62%
310         2.22%
294         2.19%
53          2.10%
270         2.03%
275         1.94%
78          1.83%
15          1.57%
278         1.54%
291         1.40%
182         1.37%
43          1.20%
47          1.18%
2194        1.17%
267         0.88%
63          0.85%
2193        0.84%
439         0.74%
2196        0.72%
2342        0.70%
150         0.70%
142         0.67%
102         0.65%
166         0.63%
171         0.62%
311         0.60%
119         0.56%
2212        0.55%
2126        0.54%
438         0.51%
2358        0.49%
283         0.48%
2230        0.48%
183         0.47%
86          0.47%
179         0.47%
79          0.46%
590         0.45%
173         0.43%
307         0.42%
2318        0.39%
413         0.27%
447         0.24%
299         0.23%
1206        0.23%
309         0.23%
271         0.22%
1318        0.20%
174         0.20%
279         0.20%
1190        0.19%
158         0.19%
191         0.19%
157         0.19%
143         0.18%
295         0.18%
95          0.18%
2487        0.18%
151         0.17%
806         0.17%
2486        0.17%
2190        0.16%
1102        0.16%
181         0.16%
1197        0.16%
301         0.15%
2214        0.15%
2150        0.15%
614         0.15%
435         0.14%
411         0.14%
511         0.13%
415         0.13%
631         0.12%
2485        0.11%
591         0.10%
2294        0.10%
1133        0.10%
951         0.10%
287         0.09%
3511        0.09%
1166        0.09%
1205        0.09%
431         0.08%
255         0.08%
223         0.08%
111         0.08%
2357        0.08%
1117        0.07%
1142        0.07%
2127        0.07%
175         0.07%
2231        0.07%
319         0.07%
2227        0.07%
1195        0.07%
1126        0.07%
629         0.06%
2359        0.06%
3510        0.06%
2219        0.06%
1143        0.06%
2477        0.06%
2167        0.06%
1207        0.05%
367         0.05%
2188        0.05%
427         0.05%
2461        0.05%
623         0.05%
678         0.05%
2267        0.05%
1141        0.05%
159         0.04%
2229        0.04%
2221        0.04%
303         0.04%
2165        0.03%
2343        0.03%
1471        0.03%
1215        0.03%
2999        0.03%
959         0.03%
351         0.03%
2203        0.03%
3583        0.03%
943         0.02%
3438        0.02%
2483        0.02%
2559        0.02%
927         0.02%
3435        0.02%
3519        0.02%
2295        0.02%
2163        0.02%
2349        0.02%
2191        0.02%
2285        0.02%
2291        0.02%
879         0.02%
2319        0.02%
2205        0.02%
2293        0.02%
693         0.02%
687         0.01%
2975        0.01%
2135        0.01%
3455        0.01%
2283        0.01%
2479        0.01%
2347        0.01%
4095        0.01%
2495        0.01%
1279        0.01%
1131        0.01%
2927        0.01%
430         0.01%
3327        0.01%
2215        0.01%
3446        0.01%
2462        0.01%
2475        0.01%
2159        0.01%
1199        0.01%
735         0.01%
2239        0.01%
1135        0.01%
2423        0.01%
2463        0.01%
2935        0.01%
2415        0.01%
815         0.01%
1151        0.01%
2303        0.00%
2223        0.00%
1791        0.00%
2459        0.00%
2351        0.00%
2478        0.00%
2271        0.00%
3502        0.00%
2287        0.00%
2367        0.00%
863         0.00%
2991        0.00%
1327        0.00%
2399        0.00%
3310        0.00%
2799        0.00%
