Motifs:	 Frequencies:
292         25.06%
38          11.75%
54          9.68%
310         7.37%
7           6.69%
164         5.74%
294         3.99%
278         3.88%
55          3.17%
21          3.13%
161         3.00%
39          2.48%
53          1.53%
2358        1.52%
14          1.26%
270         1.05%
311         0.91%
291         0.91%
439         0.86%
2342        0.69%
307         0.64%
275         0.55%
162         0.40%
295         0.27%
2318        0.27%
63          0.23%
151         0.23%
435         0.21%
183         0.18%
438         0.16%
173         0.14%
2359        0.14%
309         0.13%
150         0.13%
47          0.12%
3511        0.12%
2194        0.11%
179         0.11%
2487        0.11%
279         0.10%
301         0.09%
2196        0.07%
2357        0.07%
102         0.05%
2193        0.05%
511         0.04%
447         0.04%
181         0.04%
319         0.03%
166         0.03%
2343        0.03%
3510        0.03%
1133        0.03%
86          0.03%
2486        0.03%
2483        0.02%
283         0.02%
15          0.02%
2267        0.02%
182         0.02%
1190        0.02%
1318        0.02%
78          0.01%
287         0.01%
43          0.01%
191         0.01%
303         0.01%
255         0.01%
223         0.01%
2485        0.01%
2203        0.01%
2231        0.01%
159         0.01%
267         0.01%
1207        0.01%
1197        0.00%
1205        0.00%
299         0.00%
351         0.00%
3583        0.00%
3519        0.00%
411         0.00%
2229        0.00%
4095        0.00%
2367        0.00%
95          0.00%
2495        0.00%
614         0.00%
431         0.00%
2559        0.00%
2227        0.00%
367         0.00%
806         0.00%
271         0.00%
415         0.00%
1471        0.00%
2351        0.00%
143         0.00%
2150        0.00%
111         0.00%
1126        0.00%
157         0.00%
2349        0.00%
175         0.00%
2319        0.00%
590         0.00%
2423        0.00%
1206        0.00%
427         0.00%
2927        0.00%
2239        0.00%
879         0.00%
79          0.00%
2399        0.00%
1279        0.00%
2271        0.00%
1327        0.00%
815         0.00%
2935        0.00%
2459        0.00%
1135        0.00%
2463        0.00%
863         0.00%
158         0.00%
413         0.00%
1215        0.00%
2462        0.00%
735         0.00%
1199        0.00%
1791        0.00%
3327        0.00%
2205        0.00%
2159        0.00%
2303        0.00%
2135        0.00%
1131        0.00%
2415        0.00%
623         0.00%
591         0.00%
