Motifs:	 Frequencies:
292         20.47%
7           13.35%
38          12.21%
54          12.19%
310         6.48%
55          4.63%
164         3.88%
278         3.31%
294         3.07%
21          2.80%
39          2.70%
161         2.10%
53          1.98%
14          1.33%
2358        1.29%
439         0.93%
311         0.80%
270         0.75%
291         0.58%
2342        0.53%
307         0.50%
63          0.45%
275         0.34%
162         0.26%
151         0.23%
295         0.23%
435         0.22%
47          0.19%
183         0.17%
2318        0.16%
2359        0.14%
438         0.13%
173         0.13%
3511        0.11%
309         0.10%
150         0.10%
2487        0.09%
179         0.09%
279         0.08%
2194        0.08%
301         0.07%
511         0.05%
2357        0.05%
447         0.04%
102         0.04%
2196        0.04%
2193        0.03%
2343        0.03%
15          0.03%
181         0.03%
319         0.03%
166         0.02%
3510        0.02%
2486        0.02%
86          0.02%
1133        0.02%
2483        0.02%
182         0.02%
2267        0.02%
78          0.01%
43          0.01%
283         0.01%
1190        0.01%
191         0.01%
287         0.01%
255         0.01%
223         0.01%
303         0.01%
2485        0.01%
1207        0.01%
1318        0.01%
159         0.01%
2231        0.01%
2203        0.01%
351         0.00%
95          0.00%
1197        0.00%
3519        0.00%
3583        0.00%
267         0.00%
4095        0.00%
2367        0.00%
411         0.00%
2495        0.00%
367         0.00%
299         0.00%
431         0.00%
2229        0.00%
2559        0.00%
1471        0.00%
2227        0.00%
806         0.00%
271         0.00%
415         0.00%
590         0.00%
143         0.00%
2150        0.00%
1206        0.00%
1205        0.00%
2351        0.00%
79          0.00%
175         0.00%
2423        0.00%
427         0.00%
614         0.00%
111         0.00%
879         0.00%
2319        0.00%
2239        0.00%
1215        0.00%
2927        0.00%
1126        0.00%
815         0.00%
413         0.00%
2271        0.00%
2349        0.00%
1199        0.00%
158         0.00%
1327        0.00%
157         0.00%
1279        0.00%
2135        0.00%
2399        0.00%
1791        0.00%
3327        0.00%
2935        0.00%
623         0.00%
863         0.00%
2462        0.00%
2303        0.00%
2463        0.00%
591         0.00%
1135        0.00%
2459        0.00%
735         0.00%
2415        0.00%
2159        0.00%
2205        0.00%
1131        0.00%
