Motifs:	 Frequencies:
7           12.58%
38          7.64%
21          6.40%
164         5.18%
292         5.16%
54          4.93%
55          4.86%
39          3.34%
14          2.91%
310         2.85%
53          2.65%
294         2.64%
161         2.21%
63          2.00%
47          1.81%
278         1.54%
162         1.43%
270         1.40%
15          1.30%
78          1.29%
275         1.25%
439         1.19%
182         1.02%
43          0.98%
291         0.86%
2194        0.81%
438         0.76%
311         0.75%
2342        0.66%
2358        0.54%
183         0.54%
2193        0.54%
150         0.51%
102         0.50%
267         0.50%
173         0.49%
179         0.48%
166         0.42%
119         0.42%
2196        0.42%
447         0.39%
171         0.39%
307         0.37%
142         0.34%
283         0.33%
86          0.33%
2126        0.32%
79          0.32%
2230        0.32%
511         0.29%
2212        0.29%
2318        0.28%
301         0.27%
590         0.27%
309         0.25%
295         0.23%
191         0.22%
413         0.21%
435         0.19%
2486        0.18%
95          0.18%
151         0.18%
2487        0.18%
299         0.17%
279         0.16%
181         0.16%
415         0.15%
271         0.15%
1206        0.14%
411         0.14%
1197        0.14%
174         0.13%
143         0.13%
157         0.13%
3511        0.13%
1318        0.13%
158         0.12%
255         0.12%
319         0.12%
431         0.11%
223         0.11%
1190        0.11%
806         0.11%
2150        0.10%
2214        0.09%
614         0.09%
1102        0.09%
367         0.09%
111         0.09%
287         0.08%
2190        0.08%
3510        0.08%
2485        0.08%
1133        0.08%
2294        0.07%
2267        0.07%
2357        0.07%
175         0.07%
2359        0.06%
951         0.06%
631         0.06%
303         0.06%
591         0.06%
2227        0.06%
1205        0.05%
427         0.05%
1166        0.05%
159         0.05%
2231        0.05%
1117        0.04%
1126        0.04%
351         0.04%
1142        0.04%
1195        0.04%
2203        0.04%
2127        0.04%
3583        0.04%
1207        0.04%
2477        0.04%
2219        0.03%
2167        0.03%
623         0.03%
1143        0.03%
3519        0.03%
1141        0.03%
1471        0.03%
2461        0.03%
629         0.03%
2999        0.03%
2229        0.03%
2343        0.03%
879         0.03%
2221        0.03%
2559        0.03%
2483        0.03%
678         0.02%
2188        0.02%
4095        0.02%
2165        0.02%
1215        0.02%
943         0.02%
927         0.02%
959         0.02%
3438        0.01%
2295        0.01%
3435        0.01%
2319        0.01%
2349        0.01%
2285        0.01%
2291        0.01%
2927        0.01%
2495        0.01%
2163        0.01%
2293        0.01%
3455        0.01%
430         0.01%
2191        0.01%
687         0.01%
2975        0.01%
693         0.01%
3327        0.01%
2205        0.01%
1279        0.01%
815         0.01%
2135        0.01%
2423        0.01%
2283        0.01%
2479        0.01%
2935        0.01%
3446        0.01%
2271        0.01%
1791        0.01%
1131        0.01%
735         0.01%
2462        0.01%
2347        0.01%
2351        0.01%
2463        0.01%
2239        0.00%
1199        0.00%
2367        0.00%
3502        0.00%
2303        0.00%
2215        0.00%
2478        0.00%
2415        0.00%
1135        0.00%
2159        0.00%
2459        0.00%
2475        0.00%
2223        0.00%
1151        0.00%
863         0.00%
2287        0.00%
2991        0.00%
1327        0.00%
2399        0.00%
2799        0.00%
3310        0.00%
