Motifs:	 Frequencies:
292         22.18%
7           13.25%
38          12.48%
54          11.26%
310         6.88%
55          4.62%
278         3.33%
164         3.12%
294         2.95%
39          2.77%
21          2.55%
161         2.01%
53          1.87%
2358        1.57%
14          1.13%
439         1.04%
311         0.76%
2342        0.63%
270         0.60%
63          0.52%
291         0.46%
307         0.45%
151         0.25%
275         0.24%
435         0.23%
47          0.20%
295         0.20%
183         0.20%
162         0.17%
438         0.15%
2359        0.14%
173         0.14%
3511        0.14%
2318        0.12%
179         0.11%
150         0.11%
2487        0.11%
2194        0.09%
309         0.09%
279         0.07%
511         0.06%
301         0.06%
2357        0.05%
447         0.05%
2193        0.04%
102         0.04%
181         0.03%
15          0.03%
2486        0.03%
3510        0.02%
166         0.02%
2196        0.02%
2343        0.02%
319         0.02%
86          0.02%
78          0.02%
182         0.02%
1133        0.02%
2483        0.02%
2267        0.02%
43          0.01%
1190        0.01%
255         0.01%
223         0.01%
191         0.01%
1207        0.01%
2231        0.01%
283         0.01%
287         0.01%
95          0.01%
2485        0.01%
159         0.01%
2203        0.01%
3519        0.01%
4095        0.01%
303         0.00%
1197        0.00%
1318        0.00%
367         0.00%
351         0.00%
3583        0.00%
2227        0.00%
411         0.00%
2495        0.00%
431         0.00%
2367        0.00%
415         0.00%
590         0.00%
2229        0.00%
1471        0.00%
806         0.00%
1205        0.00%
2559        0.00%
267         0.00%
1206        0.00%
79          0.00%
299         0.00%
2150        0.00%
143         0.00%
175         0.00%
111         0.00%
2423        0.00%
614         0.00%
879         0.00%
271         0.00%
427         0.00%
2239        0.00%
2351        0.00%
413         0.00%
157         0.00%
815         0.00%
2927        0.00%
1199        0.00%
1215        0.00%
158         0.00%
3327        0.00%
2935        0.00%
2271        0.00%
2135        0.00%
2399        0.00%
1279        0.00%
1791        0.00%
623         0.00%
1327        0.00%
591         0.00%
2319        0.00%
1126        0.00%
2349        0.00%
863         0.00%
2303        0.00%
2415        0.00%
2463        0.00%
735         0.00%
2462        0.00%
2159        0.00%
1135        0.00%
2205        0.00%
2459        0.00%
1131        0.00%
