Motifs:	 Frequencies:
7           12.47%
38          7.47%
21          6.05%
292         5.02%
164         5.01%
55          4.46%
54          4.40%
39          3.17%
14          2.82%
310         2.72%
294         2.61%
53          2.58%
63          2.28%
161         2.25%
47          1.97%
278         1.56%
270         1.35%
78          1.31%
15          1.30%
275         1.30%
439         1.28%
162         1.24%
43          1.04%
182         0.97%
2194        0.91%
291         0.85%
311         0.81%
438         0.77%
2342        0.74%
2358        0.60%
183         0.57%
2193        0.56%
102         0.54%
179         0.54%
150         0.52%
173         0.52%
447         0.47%
267         0.47%
171         0.43%
307         0.42%
511         0.42%
119         0.41%
166         0.41%
283         0.37%
2126        0.37%
2196        0.37%
2230        0.34%
79          0.32%
590         0.30%
301         0.30%
86          0.30%
142         0.30%
2318        0.29%
2212        0.28%
309         0.26%
191         0.25%
295         0.25%
2487        0.23%
2486        0.22%
413         0.22%
435         0.22%
95          0.22%
151         0.21%
411         0.18%
299         0.18%
3511        0.18%
1197        0.18%
255         0.18%
279         0.18%
415         0.17%
271         0.16%
181         0.16%
223         0.16%
1206        0.14%
319         0.14%
174         0.13%
1318        0.13%
157         0.13%
143         0.12%
1190        0.12%
158         0.12%
431         0.12%
806         0.11%
2214        0.11%
2485        0.11%
3510        0.10%
367         0.10%
2150        0.10%
1133        0.10%
111         0.09%
287         0.09%
2267        0.09%
614         0.09%
2359        0.09%
2357        0.08%
1102        0.08%
2294        0.08%
951         0.07%
2190        0.07%
303         0.07%
2227        0.07%
631         0.07%
1205        0.07%
175         0.06%
3583        0.06%
591         0.06%
159         0.06%
2231        0.06%
427         0.05%
3519        0.05%
351         0.05%
1471        0.05%
1207        0.05%
2127        0.05%
1166        0.05%
2559        0.04%
1117        0.04%
623         0.04%
4095        0.04%
1195        0.04%
2167        0.04%
1143        0.04%
2203        0.04%
2477        0.04%
2219        0.04%
2343        0.04%
1142        0.04%
629         0.04%
1126        0.04%
1141        0.03%
2229        0.03%
2999        0.03%
879         0.03%
2483        0.03%
2461        0.03%
1215        0.03%
2221        0.03%
959         0.02%
2165        0.02%
678         0.02%
2188        0.02%
943         0.02%
3438        0.02%
2295        0.02%
927         0.02%
2927        0.02%
2319        0.02%
3455        0.02%
2495        0.02%
2291        0.02%
2285        0.01%
1279        0.01%
3435        0.01%
2293        0.01%
3327        0.01%
2975        0.01%
2163        0.01%
2283        0.01%
2349        0.01%
430         0.01%
687         0.01%
2135        0.01%
735         0.01%
2423        0.01%
2191        0.01%
1791        0.01%
3446        0.01%
2935        0.01%
815         0.01%
2271        0.01%
2205        0.01%
2479        0.01%
693         0.01%
1199        0.01%
2462        0.01%
2239        0.01%
2367        0.01%
2303        0.01%
2347        0.01%
2463        0.01%
2478        0.01%
2215        0.01%
2351        0.01%
1151        0.00%
1131        0.00%
2475        0.00%
3502        0.00%
1135        0.00%
863         0.00%
2415        0.00%
2287        0.00%
2159        0.00%
2223        0.00%
2991        0.00%
2459        0.00%
1327        0.00%
2399        0.00%
2799        0.00%
3310        0.00%
