Motifs:	 Frequencies:
164         13.20%
21          13.04%
162         8.30%
161         6.07%
14          5.98%
38          5.92%
7           4.63%
292         4.42%
54          2.91%
78          1.98%
270         1.92%
275         1.92%
2196        1.44%
267         1.36%
2194        1.35%
182         1.26%
291         1.24%
55          1.21%
39          1.21%
15          1.20%
2212        1.19%
142         1.18%
310         1.14%
294         1.09%
53          1.07%
2193        1.06%
278         0.99%
43          0.96%
102         0.63%
166         0.63%
150         0.62%
86          0.60%
2126        0.40%
590         0.32%
171         0.32%
47          0.30%
2230        0.30%
119         0.28%
79          0.26%
2342        0.24%
1102        0.21%
2190        0.20%
2188        0.20%
283         0.20%
2318        0.20%
439         0.17%
63          0.17%
1206        0.15%
179         0.15%
311         0.14%
1190        0.14%
614         0.14%
183         0.13%
806         0.13%
2358        0.13%
1318        0.13%
438         0.13%
143         0.13%
173         0.13%
307         0.12%
2150        0.12%
271         0.12%
157         0.12%
158         0.12%
299         0.12%
413         0.12%
2214        0.12%
1166        0.12%
174         0.12%
1142        0.08%
1126        0.08%
678         0.07%
309         0.07%
279         0.07%
181         0.07%
631         0.06%
295         0.05%
591         0.05%
2127        0.04%
301         0.04%
151         0.04%
2294        0.03%
629         0.03%
1195        0.03%
447         0.03%
95          0.03%
1117        0.03%
435         0.03%
191         0.03%
951         0.03%
2487        0.02%
2219        0.02%
1197        0.02%
2167        0.02%
2461        0.02%
415         0.02%
411         0.02%
1143        0.02%
2477        0.02%
287         0.02%
1141        0.02%
2486        0.02%
111         0.02%
1205        0.02%
1133        0.02%
2485        0.02%
431         0.02%
2221        0.02%
2227        0.02%
175         0.02%
2165        0.01%
427         0.01%
2231        0.01%
2229        0.01%
2357        0.01%
2163        0.01%
511         0.01%
2191        0.01%
693         0.01%
2205        0.01%
319         0.01%
3511        0.01%
1207        0.01%
367         0.01%
159         0.01%
223         0.01%
2203        0.01%
303         0.01%
3435        0.01%
2135        0.01%
623         0.01%
2343        0.01%
255         0.01%
1131        0.00%
2319        0.00%
2349        0.00%
2267        0.00%
3510        0.00%
351         0.00%
2483        0.00%
2347        0.00%
2359        0.00%
2293        0.00%
943         0.00%
3438        0.00%
2285        0.00%
927         0.00%
959         0.00%
687         0.00%
430         0.00%
2295        0.00%
1471        0.00%
2999        0.00%
1215        0.00%
2291        0.00%
2159        0.00%
815         0.00%
2462        0.00%
2215        0.00%
2475        0.00%
2283        0.00%
2559        0.00%
879         0.00%
3519        0.00%
3583        0.00%
3455        0.00%
1199        0.00%
2478        0.00%
2479        0.00%
2975        0.00%
2223        0.00%
2495        0.00%
2463        0.00%
2459        0.00%
1327        0.00%
1151        0.00%
2423        0.00%
2239        0.00%
1135        0.00%
3327        0.00%
3446        0.00%
2415        0.00%
2351        0.00%
2927        0.00%
1279        0.00%
2287        0.00%
2303        0.00%
735         0.00%
2935        0.00%
3502        0.00%
863         0.00%
2991        0.00%
2271        0.00%
2399        0.00%
4095        0.00%
1791        0.00%
2367        0.00%
2799        0.00%
