Motifs:	 Frequencies:
292         19.52%
38          14.27%
164         10.75%
54          7.92%
7           6.96%
21          6.83%
161         4.57%
310         4.31%
294         3.29%
278         3.17%
14          2.60%
39          2.30%
55          2.12%
53          1.60%
270         1.43%
291         1.31%
162         1.16%
2358        0.84%
275         0.78%
2342        0.53%
311         0.50%
307         0.44%
439         0.34%
2318        0.21%
295         0.18%
151         0.14%
63          0.13%
435         0.11%
183         0.10%
150         0.10%
2194        0.10%
47          0.09%
173         0.09%
438         0.09%
309         0.09%
2196        0.07%
2359        0.07%
279         0.07%
301         0.07%
179         0.06%
2487        0.05%
102         0.05%
2193        0.05%
2357        0.04%
3511        0.04%
166         0.04%
283         0.03%
181         0.03%
86          0.02%
319         0.02%
2343        0.02%
1133        0.02%
15          0.02%
447         0.02%
1190        0.02%
182         0.01%
78          0.01%
3510        0.01%
2486        0.01%
2483        0.01%
2267        0.01%
267         0.01%
511         0.01%
43          0.01%
1207        0.01%
287         0.01%
303         0.01%
1318        0.01%
191         0.01%
2485        0.01%
2231        0.01%
2203        0.00%
1197        0.00%
223         0.00%
159         0.00%
1205        0.00%
2227        0.00%
2229        0.00%
95          0.00%
255         0.00%
614         0.00%
806         0.00%
590         0.00%
2150        0.00%
299         0.00%
351         0.00%
367         0.00%
411         0.00%
1206        0.00%
3519        0.00%
431         0.00%
2559        0.00%
2495        0.00%
1471        0.00%
2367        0.00%
3583        0.00%
111         0.00%
271         0.00%
143         0.00%
175         0.00%
4095        0.00%
427         0.00%
79          0.00%
2351        0.00%
879         0.00%
415         0.00%
1215        0.00%
158         0.00%
2423        0.00%
157         0.00%
2239        0.00%
1199        0.00%
1126        0.00%
2271        0.00%
1279        0.00%
2319        0.00%
815         0.00%
2927        0.00%
2399        0.00%
623         0.00%
591         0.00%
863         0.00%
2935        0.00%
2462        0.00%
1791        0.00%
2349        0.00%
2303        0.00%
1327        0.00%
413         0.00%
1135        0.00%
2135        0.00%
2415        0.00%
2159        0.00%
735         0.00%
