Motifs:	 Frequencies:
164         13.43%
21          12.88%
162         8.91%
161         6.10%
14          6.04%
38          5.68%
292         4.42%
7           3.95%
54          2.84%
78          2.01%
270         1.98%
275         1.95%
2196        1.58%
267         1.50%
182         1.33%
2194        1.32%
2212        1.31%
142         1.23%
15          1.16%
291         1.16%
310         1.14%
55          1.13%
39          1.13%
294         1.13%
2193        1.08%
278         1.03%
53          1.02%
43          0.98%
102         0.66%
150         0.66%
166         0.65%
86          0.58%
2126        0.36%
171         0.32%
590         0.29%
119         0.28%
2230        0.28%
47          0.27%
79          0.24%
1102        0.23%
2188        0.23%
2190        0.22%
2342        0.22%
283         0.21%
2318        0.19%
439         0.15%
307         0.15%
311         0.14%
1206        0.14%
173         0.14%
179         0.14%
63          0.14%
271         0.14%
2358        0.13%
183         0.13%
413         0.13%
2150        0.13%
1318        0.13%
158         0.13%
438         0.13%
1190        0.13%
806         0.13%
2214        0.12%
143         0.12%
614         0.12%
174         0.12%
1166        0.12%
299         0.12%
157         0.11%
1126        0.09%
1142        0.09%
678         0.08%
279         0.07%
309         0.06%
181         0.06%
151         0.04%
301         0.04%
295         0.04%
631         0.04%
591         0.03%
435         0.03%
2127        0.03%
629         0.03%
1195        0.03%
1117        0.03%
2219        0.03%
2294        0.03%
95          0.03%
1197        0.03%
411         0.02%
191         0.02%
447         0.02%
1133        0.02%
2486        0.02%
415         0.02%
951         0.02%
2167        0.02%
2221        0.02%
2461        0.02%
1143        0.02%
1141        0.02%
2485        0.02%
287         0.02%
2487        0.02%
2477        0.02%
2165        0.02%
175         0.01%
111         0.01%
431         0.01%
2229        0.01%
2357        0.01%
1205        0.01%
427         0.01%
2227        0.01%
2231        0.01%
511         0.01%
693         0.01%
2191        0.01%
3511        0.01%
2163        0.01%
319         0.01%
2205        0.01%
223         0.01%
2203        0.01%
367         0.01%
3510        0.01%
255         0.01%
2267        0.01%
3435        0.01%
623         0.01%
2359        0.01%
303         0.01%
159         0.01%
2319        0.00%
1207        0.00%
2343        0.00%
2349        0.00%
2135        0.00%
2285        0.00%
2347        0.00%
1131        0.00%
351         0.00%
2293        0.00%
2483        0.00%
927         0.00%
687         0.00%
3438        0.00%
2283        0.00%
943         0.00%
2291        0.00%
959         0.00%
2295        0.00%
2999        0.00%
1215        0.00%
430         0.00%
2215        0.00%
879         0.00%
2475        0.00%
2159        0.00%
1471        0.00%
2459        0.00%
1151        0.00%
2479        0.00%
2462        0.00%
2559        0.00%
2975        0.00%
3583        0.00%
3446        0.00%
1199        0.00%
2223        0.00%
3519        0.00%
815         0.00%
1135        0.00%
2478        0.00%
2415        0.00%
2463        0.00%
2239        0.00%
735         0.00%
3455        0.00%
2495        0.00%
2271        0.00%
1279        0.00%
2935        0.00%
2351        0.00%
2927        0.00%
4095        0.00%
3327        0.00%
2287        0.00%
2303        0.00%
2423        0.00%
3502        0.00%
1327        0.00%
1791        0.00%
2367        0.00%
2991        0.00%
863         0.00%
2399        0.00%
3310        0.00%
2799        0.00%
