Motifs:	 Frequencies:
21          10.40%
164         10.34%
38          8.42%
7           6.53%
292         6.49%
14          4.70%
54          4.44%
161         4.44%
162         3.93%
55          2.52%
310         2.29%
294         2.21%
39          2.14%
275         1.85%
270         1.85%
53          1.85%
278         1.71%
78          1.58%
182         1.17%
2194        1.08%
15          1.06%
291         1.06%
43          0.87%
2193        0.85%
267         0.74%
2196        0.74%
142         0.62%
2212        0.61%
47          0.59%
102         0.58%
150         0.58%
166         0.57%
63          0.49%
2342        0.49%
439         0.47%
86          0.44%
311         0.42%
438         0.36%
2126        0.35%
2358        0.33%
171         0.32%
307         0.31%
179         0.30%
119         0.30%
183         0.30%
2230        0.29%
173         0.28%
283         0.25%
590         0.25%
79          0.23%
2318        0.21%
309         0.14%
413         0.13%
1318        0.13%
279         0.13%
1206        0.12%
271         0.12%
2190        0.12%
299         0.12%
174         0.12%
806         0.11%
158         0.11%
2214        0.11%
1190        0.11%
295         0.11%
2150        0.11%
1102        0.11%
143         0.11%
301         0.11%
181         0.10%
447         0.10%
435         0.10%
151         0.10%
157         0.09%
614         0.09%
191         0.08%
1197        0.08%
2486        0.07%
2487        0.07%
2188        0.07%
95          0.06%
411         0.06%
511         0.06%
1166        0.06%
2485        0.05%
415         0.05%
1142        0.05%
1126        0.04%
591         0.04%
1133        0.04%
111         0.04%
678         0.04%
3511        0.04%
631         0.03%
1205        0.03%
287         0.03%
2294        0.03%
2357        0.03%
1117        0.03%
431         0.03%
319         0.03%
175         0.03%
2227        0.03%
3510        0.03%
255         0.03%
951         0.03%
1195        0.03%
223         0.03%
367         0.03%
2219        0.03%
2359        0.02%
2231        0.02%
629         0.02%
2127        0.02%
2167        0.02%
427         0.02%
2229        0.02%
2267        0.02%
2477        0.02%
1143        0.02%
1141        0.02%
2461        0.02%
623         0.02%
2165        0.02%
1207        0.02%
2221        0.02%
159         0.02%
2343        0.01%
2203        0.01%
303         0.01%
351         0.01%
2483        0.01%
1471        0.01%
3583        0.01%
2163        0.01%
693         0.01%
943         0.01%
1215        0.01%
2191        0.01%
3435        0.01%
2205        0.01%
2999        0.01%
3438        0.01%
2559        0.01%
2295        0.01%
2349        0.01%
3519        0.01%
879         0.01%
2319        0.01%
2293        0.01%
927         0.01%
2285        0.01%
2135        0.00%
2291        0.00%
959         0.00%
687         0.00%
2347        0.00%
2975        0.00%
4095        0.00%
430         0.00%
1131        0.00%
2283        0.00%
2475        0.00%
2495        0.00%
2479        0.00%
2462        0.00%
2927        0.00%
3455        0.00%
2215        0.00%
1279        0.00%
3446        0.00%
3327        0.00%
1199        0.00%
2935        0.00%
2271        0.00%
815         0.00%
2159        0.00%
1791        0.00%
735         0.00%
2423        0.00%
2239        0.00%
2367        0.00%
2478        0.00%
2223        0.00%
2463        0.00%
2459        0.00%
2351        0.00%
2303        0.00%
863         0.00%
2415        0.00%
3502        0.00%
1151        0.00%
2287        0.00%
1135        0.00%
2991        0.00%
1327        0.00%
2399        0.00%
2799        0.00%
3310        0.00%
