Motifs:	 Frequencies:
164         12.89%
21          12.88%
162         8.69%
14          6.04%
161         6.02%
38          5.48%
7           4.22%
292         4.16%
54          2.69%
78          2.24%
275         1.89%
270         1.88%
267         1.65%
2196        1.62%
182         1.39%
15          1.38%
2194        1.34%
2212        1.31%
142         1.30%
291         1.25%
43          1.13%
55          1.06%
2193        1.05%
39          1.05%
310         1.04%
294         1.03%
53          0.98%
278         0.92%
102         0.72%
150         0.71%
166         0.66%
86          0.65%
171         0.38%
2126        0.37%
590         0.33%
79          0.33%
119         0.30%
2230        0.30%
1102        0.27%
47          0.25%
2188        0.24%
2342        0.23%
2190        0.22%
283         0.21%
2318        0.21%
413         0.16%
1206        0.16%
157         0.15%
63          0.15%
299         0.15%
614         0.15%
439         0.14%
1190        0.14%
158         0.14%
179         0.14%
307         0.14%
271         0.14%
143         0.14%
311         0.14%
2358        0.14%
2150        0.14%
806         0.13%
1318        0.13%
173         0.13%
1166        0.13%
2214        0.13%
183         0.13%
174         0.13%
438         0.12%
1126        0.11%
1142        0.10%
678         0.09%
279         0.07%
309         0.06%
181         0.05%
591         0.04%
295         0.04%
2294        0.04%
631         0.04%
151         0.04%
301         0.04%
2127        0.04%
1195        0.04%
2219        0.03%
435         0.03%
1117        0.03%
629         0.03%
2461        0.03%
95          0.03%
951         0.03%
191         0.02%
2487        0.02%
447         0.02%
1197        0.02%
2486        0.02%
2167        0.02%
1143        0.02%
1133        0.02%
411         0.02%
1141        0.02%
2221        0.02%
415         0.02%
2477        0.02%
2165        0.02%
2357        0.02%
287         0.02%
111         0.02%
2485        0.01%
2227        0.01%
175         0.01%
1205        0.01%
427         0.01%
2231        0.01%
2229        0.01%
2191        0.01%
2205        0.01%
431         0.01%
2163        0.01%
693         0.01%
511         0.01%
3511        0.01%
319         0.01%
1207        0.01%
159         0.01%
2359        0.01%
3435        0.01%
367         0.01%
255         0.01%
223         0.01%
1131        0.01%
2343        0.01%
2319        0.01%
2203        0.01%
2347        0.01%
2135        0.01%
303         0.01%
2349        0.01%
2267        0.00%
2285        0.00%
3510        0.00%
351         0.00%
2483        0.00%
2293        0.00%
623         0.00%
927         0.00%
2215        0.00%
2999        0.00%
2295        0.00%
3438        0.00%
2479        0.00%
2283        0.00%
2291        0.00%
1471        0.00%
959         0.00%
1215        0.00%
2223        0.00%
2462        0.00%
687         0.00%
2159        0.00%
943         0.00%
430         0.00%
2475        0.00%
879         0.00%
1199        0.00%
815         0.00%
2559        0.00%
1135        0.00%
3519        0.00%
2415        0.00%
2495        0.00%
3583        0.00%
2975        0.00%
2351        0.00%
2463        0.00%
2271        0.00%
2423        0.00%
1279        0.00%
2478        0.00%
3455        0.00%
2927        0.00%
1151        0.00%
2287        0.00%
2459        0.00%
2239        0.00%
3502        0.00%
3327        0.00%
2303        0.00%
3446        0.00%
735         0.00%
2935        0.00%
2367        0.00%
1791        0.00%
1327        0.00%
863         0.00%
2991        0.00%
4095        0.00%
2399        0.00%
3310        0.00%
2799        0.00%
