Motifs:	 Frequencies:
164         12.60%
21          12.37%
162         8.50%
161         6.13%
14          5.99%
38          5.41%
292         4.25%
7           4.08%
54          2.72%
78          2.28%
275         1.87%
270         1.86%
267         1.66%
2196        1.66%
182         1.45%
2194        1.43%
15          1.40%
2212        1.29%
291         1.27%
142         1.26%
43          1.13%
2193        1.12%
294         1.09%
310         1.08%
39          1.06%
55          1.04%
278         1.00%
53          0.96%
150         0.71%
102         0.70%
166         0.69%
86          0.63%
2126        0.39%
171         0.39%
590         0.37%
79          0.35%
2230        0.30%
119         0.30%
2342        0.27%
1102        0.27%
47          0.26%
2188        0.24%
2318        0.23%
2190        0.22%
283         0.22%
1206        0.18%
413         0.17%
439         0.17%
299         0.16%
1190        0.16%
157         0.16%
614         0.15%
2358        0.15%
311         0.15%
307         0.14%
179         0.14%
63          0.14%
173         0.14%
271         0.14%
1318        0.14%
438         0.14%
183         0.14%
2150        0.14%
806         0.14%
158         0.13%
143         0.13%
1166        0.13%
2214        0.13%
174         0.12%
1142        0.11%
1126        0.11%
678         0.09%
279         0.08%
309         0.07%
591         0.06%
181         0.06%
295         0.05%
151         0.05%
631         0.04%
301         0.04%
2294        0.04%
435         0.04%
2127        0.04%
1195        0.03%
95          0.03%
2219        0.03%
1197        0.03%
629         0.03%
1117        0.03%
2486        0.03%
447         0.03%
2487        0.03%
411         0.03%
191         0.03%
951         0.03%
2461        0.03%
1133        0.03%
2485        0.03%
415         0.03%
1143        0.02%
2167        0.02%
2477        0.02%
1141        0.02%
2221        0.02%
287         0.02%
1205        0.02%
2165        0.02%
2357        0.02%
111         0.02%
175         0.02%
2227        0.02%
2231        0.02%
2229        0.01%
427         0.01%
431         0.01%
3511        0.01%
511         0.01%
2205        0.01%
2191        0.01%
1207        0.01%
3510        0.01%
2163        0.01%
2359        0.01%
319         0.01%
2267        0.01%
159         0.01%
367         0.01%
693         0.01%
255         0.01%
2343        0.01%
3435        0.01%
223         0.01%
1131        0.01%
2203        0.01%
2347        0.01%
2319        0.01%
623         0.01%
2135        0.01%
2349        0.01%
303         0.01%
2285        0.01%
351         0.01%
2483        0.00%
959         0.00%
3438        0.00%
943         0.00%
2295        0.00%
2293        0.00%
1471        0.00%
1215        0.00%
927         0.00%
2291        0.00%
2999        0.00%
687         0.00%
2559        0.00%
2283        0.00%
879         0.00%
3583        0.00%
3519        0.00%
2975        0.00%
2215        0.00%
2475        0.00%
2159        0.00%
430         0.00%
1199        0.00%
2479        0.00%
2495        0.00%
3455        0.00%
2462        0.00%
815         0.00%
2223        0.00%
2927        0.00%
735         0.00%
2239        0.00%
3446        0.00%
2423        0.00%
1151        0.00%
3327        0.00%
2271        0.00%
1279        0.00%
2459        0.00%
1135        0.00%
4095        0.00%
2463        0.00%
2303        0.00%
2351        0.00%
2287        0.00%
2478        0.00%
2935        0.00%
1791        0.00%
2415        0.00%
3502        0.00%
863         0.00%
1327        0.00%
2991        0.00%
2367        0.00%
2399        0.00%
2799        0.00%
3310        0.00%
