Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
541134,0.2812,0.1756,0.4834,0.1052,0.0002,0.1404,0.1404,0.0002
35543,0.3074,0.291,0.3792,0.0278,0.4968,0.0,0.0,0.3814
541133,0.0626,0.255,0.3178,0.0738,0.0002,0.0002,0.0002,0.0002
35230,0.4664,0.2584,0.1014,0.027,0.0482,0.0,0.0,0.0384
35231,0.3268,0.35,0.037,0.0504,0.0312,0.0,0.0,0.0358
35549,0.3946,0.1706,0.2514,0.036,0.0002,0.0,0.001,0.0002
145758,0.4766,0.3234,0.3744,0.4414,0.0268,0.0,0.0,0.0202
541135,0.286,0.3366,0.3322,0.103,0.2256,0.0,0.0,0.049
296366,0.1964,0.4734,0.4426,0.2792,0.0002,0.0,0.0006,0.0002
296364,0.0576,0.24,0.1606,0.1836,0.2844,0.0,0.0,0.0012
296363,0.018,0.4234,0.0088,0.335,0.0002,0.0124,0.0006,0.0002
35547,0.3744,0.3622,0.068,0.004,0.0,0.0,0.0,0.0004
281774,0.4366,0.0588,0.1664,0.2292,0.0002,0.2002,0.238,0.0002
420333,0.175,0.3804,0.0792,0.172,0.003,0.0116,0.0004,0.0804
27373,0.2074,0.2226,0.4492,0.0798,0.0002,0.0,0.0038,0.0002
82220,0.0052,0.3762,0.2178,0.0884,0.0002,0.0002,0.0002,0.0002
75949,0.1348,0.019,0.4936,0.2868,0.0,0.0,0.0,0.0
279500,0.0754,0.4382,0.0572,0.4218,0.0002,0.0002,0.0002,0.0002
279502,0.122,0.2436,0.1098,0.2806,0.0002,0.0002,0.0084,0.0002
552631,0.195,0.4026,0.3034,0.4922,0.0002,0.4972,0.0168,0.0058
297707,0.334,0.4212,0.405,0.1308,0.2314,0.0,0.0,0.0578
99998,0.0908,0.0152,0.4306,0.3826,0.3462,0.0,0.0,0.0
297703,0.4842,0.3488,0.0258,0.0392,0.2144,0.0,0.0,0.1452
2147,0.1134,0.2618,0.25,0.4724,0.0,0.0,0.0,0.0
297709,0.2518,0.0672,0.0894,0.0946,0.1464,0.0,0.0,0.467
16701,0.0082,0.3112,0.013,0.4422,0.0002,0.0002,0.0002,0.0002
80590,0.257,0.0582,0.4622,0.0824,0.0028,0.0,0.3286,0.0074
543803,0.1088,0.4654,0.3116,0.295,0.0,0.0,0.0,0.0
280987,0.1842,0.3322,0.3466,0.248,0.011,0.0,0.0032,0.0294
17259,0.2108,0.1334,0.1142,0.4824,0.0,0.0,0.0,0.0
100014,0.2238,0.4376,0.0486,0.2718,0.002,0.0,0.0,0.1244
543806,0.2644,0.0116,0.375,0.1484,0.0002,0.0,0.0,0.0092
295851,0.4674,0.421,0.4682,0.3844,0.0002,0.0,0.0022,0.0064
295850,0.2496,0.2818,0.1994,0.4566,0.0002,0.0002,0.0002,0.0002
52462,0.4448,0.0574,0.1318,0.436,0.0002,0.0002,0.0002,0.0002
295852,0.0012,0.322,0.0276,0.1772,0.0002,0.3298,0.024,0.3124
295854,0.1664,0.3678,0.0588,0.3224,0.0002,0.0,0.0302,0.0002
297562,0.0066,0.1998,0.3922,0.0682,0.0002,0.0,0.0,0.0
297561,0.0112,0.2844,0.0004,0.1986,0.0002,0.0002,0.0002,0.0002
280238,0.1716,0.0286,0.4144,0.1072,0.0002,0.0,0.008,0.0002
297564,0.06,0.3052,0.037,0.381,0.0,0.0,0.0,0.0
10702,0.0974,0.1678,0.3782,0.4142,0.0002,0.0,0.0,0.047
836959,0.1668,0.2504,0.0864,0.0376,0.003,0.0348,0.417,0.002
149147,0.1026,0.0132,0.461,0.2784,0.0,0.0,0.0,0.0
173543,0.2138,0.4582,0.3438,0.3582,0.007,0.0,0.0004,0.0508
269549,0.0058,0.238,0.0148,0.397,0.0002,0.0002,0.0002,0.0002
269547,0.1296,0.1624,0.344,0.4644,0.0002,0.0,0.0002,0.0004
269543,0.4468,0.3056,0.1462,0.2452,0.0002,0.0,0.0016,0.0002
152430,0.1222,0.0098,0.0536,0.2206,0.0036,0.0,0.4984,0.0408
84125,0.321,0.3804,0.4868,0.3512,0.0,0.0,0.0,0.0
270061,0.02,0.1034,0.2258,0.4208,0.0002,0.0002,0.0002,0.0002
26026,0.0244,0.4304,0.0004,0.1912,0.0002,0.0002,0.0002,0.0002
271223,0.313,0.1424,0.3428,0.2512,0.0028,0.0,0.0,0.062
147871,0.263,0.3918,0.2972,0.15,0.0,0.0,0.0,0.0
147870,0.3756,0.0976,0.3718,0.2196,0.0,0.0,0.0,0.0
22871,0.0996,0.2064,0.3566,0.2138,0.3074,0.0,0.0,0.006
139933,0.3014,0.457,0.1358,0.0442,0.0154,0.0,0.0,0.343
22878,0.1434,0.1962,0.191,0.1416,0.0056,0.0,0.0,0.3608
139934,0.4352,0.3118,0.4104,0.4656,0.0002,0.0002,0.0002,0.0002
37790,0.2748,0.1,0.3512,0.4404,0.0002,0.0,0.0,0.0002
38503,0.0222,0.1386,0.065,0.4312,0.0002,0.0002,0.0002,0.0002
84699,0.068,0.4048,0.006,0.0732,0.3394,0.0,0.0,0.0122
3519,0.4718,0.3522,0.2052,0.1448,0.0002,0.4914,0.2864,0.0002
2685,0.1828,0.1768,0.3056,0.4144,0.0002,0.0302,0.3352,0.0002
2686,0.2824,0.4542,0.1432,0.4026,0.0002,0.4036,0.3998,0.0002
2687,0.3654,0.2636,0.486,0.4848,0.0002,0.0002,0.0322,0.0002
2683,0.381,0.339,0.4708,0.4938,0.0002,0.0002,0.0228,0.0002
563934,0.206,0.0792,0.29,0.1698,0.0932,0.0,0.0,0.412
528797,0.1956,0.3692,0.1808,0.0852,0.0998,0.0,0.0,0.3336
563933,0.1082,0.0958,0.1846,0.158,0.009,0.0,0.0018,0.0002
563931,0.2286,0.236,0.1688,0.0936,0.0002,0.0004,0.3792,0.0002
528799,0.4066,0.4914,0.012,0.0044,0.4688,0.0,0.0,0.2668
528798,0.0338,0.326,0.2958,0.0252,0.0,0.0,0.0,0.3658
271085,0.4972,0.0072,0.0592,0.451,0.0002,0.0,0.0062,0.0002
71820,0.381,0.3862,0.29,0.2238,0.0118,0.0,0.0,0.1694
268635,0.161,0.3304,0.0748,0.3804,0.0,0.0,0.0,0.0
268636,0.3888,0.302,0.4328,0.2418,0.0,0.0,0.0,0.0004
148638,0.0764,0.2448,0.4496,0.2518,0.036,0.0092,0.0084,0.2434
148639,0.0134,0.0018,0.019,0.0384,0.0,0.0,0.0,0.0
280652,0.1036,0.32,0.12,0.3364,0.0,0.0,0.0,0.0
543471,0.2282,0.4174,0.061,0.0172,0.0002,0.05,0.1912,0.0002
33503,0.3378,0.05,0.3384,0.0958,0.0902,0.0,0.0,0.2648
33501,0.1608,0.3386,0.0308,0.29,0.0008,0.0,0.0,0.0698
71756,0.4664,0.4176,0.2738,0.354,0.0,0.0,0.0,0.0
575451,0.0968,0.3344,0.3748,0.1048,0.0292,0.0,0.3086,0.0048
17823,0.1,0.33,0.4834,0.1632,0.0,0.0,0.0,0.0
17822,0.1844,0.0968,0.423,0.4834,0.0,0.0,0.0,0.0
156655,0.341,0.1398,0.2026,0.2336,0.117,0.0,0.0082,0.1406
156654,0.1242,0.3754,0.3658,0.1756,0.0002,0.2614,0.086,0.0002
27575,0.0642,0.0024,0.3264,0.3382,0.0002,0.0316,0.2898,0.0002
137643,0.1086,0.4204,0.2508,0.4134,0.0002,0.0122,0.0142,0.0002
137646,0.2156,0.3558,0.2104,0.2778,0.0036,0.0,0.0,0.047
83611,0.3092,0.1288,0.1776,0.3524,0.0,0.0,0.0,0.0
83614,0.0088,0.0862,0.1786,0.0174,0.0678,0.0,0.0,0.0
1179,0.1546,0.377,0.3788,0.369,0.0002,0.0004,0.012,0.0002
296555,0.308,0.368,0.2452,0.2106,0.0014,0.0,0.0,0.077
296554,0.3476,0.1818,0.3218,0.1978,0.0314,0.0,0.0,0.125
296556,0.2782,0.2052,0.196,0.3218,0.0,0.0,0.0,0.0
296550,0.3002,0.3356,0.2822,0.3304,0.0002,0.1438,0.3812,0.0002
296553,0.4428,0.3064,0.2032,0.2844,0.0,0.0,0.0,0.0
174686,0.1498,0.1866,0.2228,0.355,0.0002,0.0152,0.0796,0.0054
72255,0.3016,0.4256,0.2654,0.059,0.0002,0.4944,0.2342,0.0002
72254,0.3854,0.2526,0.232,0.0388,0.4606,0.0,0.0,0.03
72251,0.1648,0.308,0.383,0.241,0.0002,0.0002,0.0224,0.0002
268859,0.2482,0.1656,0.2032,0.2558,0.0002,0.0,0.0768,0.0002
169341,0.2794,0.2458,0.328,0.343,0.006,0.0,0.0106,0.002
552028,0.361,0.2882,0.0338,0.1564,0.0002,0.0002,0.0066,0.0002
34559,0.356,0.364,0.3812,0.0434,0.0002,0.2118,0.205,0.0002
109662,0.1066,0.3,0.3052,0.119,0.288,0.0,0.0,0.1244
552026,0.1126,0.4622,0.0152,0.3112,0.0746,0.0,0.0,0.0
8541,0.253,0.2376,0.0312,0.1518,0.0,0.0,0.0,0.0
8543,0.2832,0.2702,0.0186,0.059,0.0,0.0,0.0,0.0
8542,0.4924,0.1996,0.0516,0.1948,0.0,0.0,0.0,0.0
825807,0.0366,0.223,0.2274,0.0374,0.1004,0.0,0.3228,0.0058
825806,0.2738,0.2236,0.3636,0.4076,0.0002,0.0498,0.473,0.0002
541309,0.3066,0.4284,0.0532,0.2778,0.0,0.0,0.0,0.0
35931,0.1322,0.1742,0.0202,0.0298,0.0,0.0,0.0,0.0
541307,0.4812,0.1842,0.2066,0.3846,0.0,0.0,0.0,0.0
35935,0.2738,0.3366,0.4992,0.4334,0.0,0.0,0.0,0.0
35934,0.2836,0.037,0.3338,0.0052,0.2274,0.0,0.0,0.0352
838875,0.4632,0.1178,0.089,0.1684,0.2998,0.0,0.1124,0.19
170455,0.4728,0.0396,0.28,0.1978,0.0002,0.3662,0.3476,0.0002
575950,0.3582,0.2932,0.2246,0.0518,0.0002,0.0,0.0152,0.0002
144349,0.4476,0.0846,0.2696,0.2272,0.0002,0.2692,0.284,0.0002
158158,0.3412,0.2098,0.1036,0.0816,0.0862,0.0,0.0,0.1798
273629,0.0246,0.2872,0.321,0.2118,0.0002,0.3074,0.0834,0.0002
154718,0.3648,0.0422,0.1984,0.492,0.0002,0.0098,0.205,0.0002
50671,0.1232,0.4634,0.3296,0.045,0.0002,0.078,0.309,0.0002
154861,0.1106,0.1172,0.1704,0.2122,0.0002,0.0676,0.3486,0.0002
154093,0.3814,0.16,0.1696,0.071,0.0412,0.0,0.0002,0.1022
398,0.3194,0.2744,0.1616,0.4142,0.0,0.0,0.0,0.0
266917,0.0054,0.2404,0.402,0.0924,0.0002,0.0002,0.0002,0.0006
2303,0.408,0.3886,0.2824,0.1658,0.0002,0.2366,0.074,0.0002
5847,0.4322,0.405,0.0268,0.1078,0.0184,0.0,0.0,0.13
266909,0.174,0.231,0.0552,0.4854,0.0,0.0,0.0,0.0
17623,0.1798,0.3354,0.1902,0.3528,0.0,0.0,0.0,0.0
17627,0.418,0.2882,0.1948,0.1232,0.0,0.0,0.0,0.0004
17629,0.0524,0.0764,0.2538,0.4482,0.0002,0.0006,0.361,0.0002
100956,0.391,0.2452,0.1582,0.1512,0.0,0.0,0.0,0.0
41822,0.1986,0.4808,0.176,0.3846,0.0,0.0,0.0,0.0
116334,0.0188,0.1842,0.3994,0.0904,0.0002,0.0002,0.008,0.0002
116335,0.3124,0.3924,0.0622,0.2254,0.0002,0.0002,0.0006,0.0002
551647,0.2954,0.1418,0.2482,0.1698,0.3764,0.0,0.0002,0.3452
539863,0.3068,0.3518,0.4376,0.3376,0.071,0.0,0.004,0.133
562875,0.367,0.474,0.3932,0.276,0.0002,0.0082,0.0702,0.0002
562877,0.4694,0.4522,0.2442,0.1784,0.046,0.0,0.0008,0.1034
562871,0.1578,0.0444,0.0982,0.0254,0.0002,0.0034,0.0366,0.0002
539869,0.3986,0.431,0.3746,0.4858,0.0002,0.119,0.3264,0.0002
19563,0.2188,0.4904,0.2572,0.0652,0.0,0.0,0.0,0.0
181150,0.2196,0.1074,0.3744,0.4424,0.0002,0.006,0.3518,0.0002
181623,0.2294,0.0482,0.0854,0.2616,0.0004,0.4932,0.0608,0.0034
19566,0.391,0.0494,0.1174,0.4494,0.0002,0.0002,0.0254,0.0002
