Motif,NL/AD,NL/MCI,MCI/CONV,AD/CONV,NL/ER(NL),NL/DD(NL),AD/DD(AD),AD/ER(AD)
1142,0.002,0.483,0.059,0.051,0.0002,0.0002,0.0002,0.0002
1143,0.0912,0.1148,0.0658,0.1446,0.0002,0.0002,0.0002,0.0002
1141,0.023,0.2036,0.0972,0.0386,0.1852,0.016,0.0498,0.0002
2349,0.0236,0.321,0.376,0.1244,0.0002,0.0052,0.0004,0.4714
2223,0.4308,0.3654,0.2472,0.456,0.1138,0.0,0.0,0.1374
3327,0.0506,0.1022,0.1912,0.4062,0.0002,0.0894,0.1602,0.0002
693,0.003,0.3034,0.187,0.0108,0.0,0.0,0.0,0.0
21,0.0,0.23,0.0158,0.0268,0.0,0.0002,0.0002,0.0
2486,0.0178,0.0904,0.3994,0.1644,0.0002,0.0202,0.1578,0.0002
2487,0.0204,0.0692,0.3744,0.3376,0.0002,0.0016,0.0068,0.0002
2485,0.247,0.1226,0.2724,0.4148,0.0002,0.1052,0.0794,0.0002
2483,0.163,0.1404,0.3242,0.3664,0.0002,0.0,0.0,0.0002
159,0.1574,0.0682,0.1914,0.2364,0.0002,0.0,0.0,0.0272
2150,0.0096,0.3528,0.0024,0.4416,0.0,0.0,0.0006,0.0
283,0.2182,0.1736,0.0726,0.327,0.0002,0.0002,0.0002,0.0002
815,0.1182,0.2554,0.4918,0.2984,0.0074,0.0,0.0,0.3448
287,0.0426,0.0556,0.3734,0.4898,0.0002,0.0,0.0,0.0002
119,0.0642,0.4404,0.17,0.221,0.0002,0.0002,0.0002,0.0002
678,0.0,0.256,0.0534,0.0342,0.0,0.0032,0.0006,0.0
2461,0.0126,0.4014,0.378,0.0398,0.0002,0.0002,0.0002,0.0002
2462,0.4476,0.3118,0.1514,0.309,0.0138,0.0,0.0,0.0384
2463,0.398,0.2028,0.2776,0.223,0.0002,0.0,0.0002,0.0002
1791,0.0082,0.072,0.2364,0.3146,0.0002,0.0474,0.3368,0.0002
1151,0.4676,0.0664,0.4586,0.0648,0.0002,0.032,0.089,0.0002
1318,0.0082,0.283,0.013,0.1566,0.0,0.0182,0.0014,0.0114
267,0.0,0.4398,0.01,0.043,0.0,0.0002,0.0002,0.0
2927,0.0274,0.223,0.3758,0.2572,0.0002,0.1194,0.024,0.0002
2399,0.2014,0.3396,0.3714,0.2682,0.0002,0.0,0.0,0.0208
54,0.0002,0.0684,0.0008,0.0234,0.0002,0.0002,0.0002,0.0002
2999,0.0548,0.1448,0.1804,0.3844,0.0002,0.0002,0.0096,0.0002
2318,0.1758,0.1678,0.1168,0.2112,0.0002,0.0002,0.0002,0.0002
2319,0.4492,0.0658,0.1714,0.1988,0.4848,0.3342,0.0152,0.4686
55,0.0002,0.3076,0.0014,0.0352,0.0002,0.0002,0.0002,0.0002
2559,0.0392,0.0706,0.4616,0.357,0.0002,0.2144,0.1298,0.0002
2495,0.0362,0.1674,0.3594,0.3392,0.0002,0.1976,0.0136,0.0002
53,0.0064,0.292,0.0022,0.3724,0.0002,0.0,0.0,0.0002
415,0.0106,0.0414,0.0944,0.434,0.0002,0.0062,0.1028,0.0002
2799,0.1566,0.4222,0.0434,0.2178,0.0002,0.0,0.0,0.0004
2415,0.2514,0.1636,0.468,0.1352,0.0002,0.0,0.0,0.0002
411,0.011,0.0098,0.3034,0.4832,0.0002,0.212,0.0352,0.0002
413,0.2344,0.1688,0.3852,0.065,0.0002,0.0002,0.0002,0.0002
294,0.0138,0.3554,0.4526,0.007,0.0002,0.0,0.0,0.0002
295,0.0164,0.242,0.272,0.2576,0.0002,0.0,0.0,0.0074
292,0.158,0.3366,0.3412,0.0332,0.0002,0.013,0.0018,0.0002
